"bodmer_Polytimet" "gleim_Philotas"
"er" 3.09671272034302 2.09171359613838
"ich" 2.42972844211529 2.73531777956557
"der" 1.83420676512625 2.03807991418611
"und" 1.83420676512625 1.63582729954411
"zu" 1.78656503096713 1.34084204880665
"die" 1.9294902334445 1.09949048002145
"nicht" 1.71510242972844 1.15312416197372
"das" 1.4292520247737 1.28720836685438
"es" 1.07193901858028 1.60901045856798
"du" 0.881372081943783 1.55537677661571
"daß" 1.54835636017151 0.724054706355591
"ein" 0.929013816102906 1.20675784392599
"ist" 0.643163411148166 1.26039152587825
"philotas" 0.428775607432111 1.50174309466345
"den" 1.00047641734159 0.831322070260123
"mich" 0.762267746545974 0.992223116116921
"so" 0.905192949023344 0.724054706355591
"mir" 0.643163411148166 0.992223116116921
"in" 0.929013816102906 0.643604183427192
"von" 0.666984278227727 0.884955752212389
"für" 0.714626012386851 0.80450522928399
"wie" 0.381133873272987 1.09949048002145
"ihm" 0.786088613625536 0.616787342451059
"als" 0.762267746545974 0.616787342451059
"mit" 0.833730347784659 0.482703137570394
"könig" 0.452596474511672 0.884955752212389
"hat" 0.881372081943783 0.348618932689729
"vater" 0.476417341591234 0.80450522928399
"was" 0.476417341591234 0.750871547331724
"aridäus" 0.428775607432111 0.750871547331724
"des" 0.619342544068604 0.509519978546527
"strato" 0.214387803716055 0.938589434164655
"o" 0.238208670795617 0.884955752212389
"sohn" 0.428775607432111 0.616787342451059
"dir" 0.571700809909481 0.429069455618128
"ihn" 0.643163411148166 0.348618932689729
"nur" 0.309671272034302 0.724054706355591
"mein" 0.452596474511672 0.53633681952266
"sich" 0.666984278227727 0.294985250737463
"dem" 0.452596474511672 0.509519978546527
"prinz" 0.190566936636494 0.80450522928399
"wenn" 0.500238208670796 0.455886296594261
"seyn" 0.381133873272987 0.563153660498793
"sie" 0.500238208670796 0.402252614641995
"polemon" 0.833730347784659 0
"war" 0.333492139113864 0.563153660498793
"aber" 0.428775607432111 0.429069455618128
"auf" 0.333492139113864 0.509519978546527
"polytimet" 0.738446879466413 0
"götter" 0.14292520247737 0.643604183427192
"dich" 0.262029537875179 0.482703137570394
"parmenio" 0.357313006193425 0.375435773665862
"eine" 0.452596474511672 0.241351568785197
"ihr" 0.166746069556932 0.563153660498793
"sein" 0.357313006193425 0.348618932689729
"wir" 0.309671272034302 0.402252614641995
"einen" 0.238208670795617 0.429069455618128
"seine" 0.547879942829919 0.053633681952266
"dein" 0.14292520247737 0.482703137570394
"haben" 0.404954740352549 0.160901045856798
"will" 0.262029537875179 0.321802091713596
"habe" 0.476417341591234 0.026816840976133
"mehr" 0.357313006193425 0.160901045856798
"wäre" 0.476417341591234 0.026816840976133
"gefangen" 0.166746069556932 0.348618932689729
"hätte" 0.428775607432111 0.053633681952266
