"speaker" "corrected"
"@Mont.+$" "@Montenegro:"
"@Katelli:" "@Katelli:"
"@Anton.+$" "@Anton:"
"@Mont.+$" "@Montenegro:"
"@Franziska:" ""
"@Franzis.+$" "@Franziska:"
"@Kamilla.+$" "@Kamilla:"
"@Bedien.+$" "@Bedienter:"
"@Zisterzius.+$" "@Zisterzius:"
"@Monten:" "@Montenegro:"
"@Niklas.+$" "@Niklas:"
"@Pedrill.+$" "@Pedrillo:"
"@Monten::" "@Montenegro:"
"@Priester.+$" "@Priester:"
"@Hieronimus.+$" "@Hieronimus:"
"@Der Vermummt.+$" "@Der Vermummte:"
"@Gefangenwärter:" ""
"@Gefangenw.+$" "@Gefangenwärter:"
