"gellert_die-betschwester" "gellert_die-zaertlichen-schwestern" "gottsched-johann_der-sterbende-cato" "gottsched-luise_das-testament" "gottsched-luise_der-witzling" "gottsched-luise_die-pietisterey-im-fischbein-rocke" "lessing_der-freigeist" "lessing_emilia-galotti" "lessing_minna-von-barnhelm" "lessing_miss-sara-sampson" "schlegel_canut"
"ich" 3.8947070478347 4.4651119748288 2.29565217391304 3.38338338338338 3.02249932230957 3.06959781177186 3.79257349660404 3.37819722237117 3.57551235816695 3.83553973523177 3.00379119276757
"sie" 4.89102745542032 4.33092726263187 0.48695652173913 2.92792792792793 3.18514502575224 3.57106676121973 4.11481830350503 3.72137916242158 3.19729087870525 3.87153541575011 0.415573053368329
"und" 2.67195018397962 2.1191930409032 3.2695652173913 2.00700700700701 1.65356465166712 2.04133319825752 1.62609687174657 1.8553273633975 1.60964024980209 1.65980082390113 2.40594925634296
"nicht" 2.36626096801585 2.13307421802702 1.35652173913043 1.75175175175175 1.73488750338845 1.72728193698713 1.8789351048535 2.19850930344791 2.03184097106166 1.79978402591689 1.67687372411782
"die" 1.69261251061421 1.62409772348695 1.99652173913043 2.03703703703704 2.04662510165356 1.96535305440178 1.55173268553864 1.54968094804011 1.27979593631806 1.62380514338279 1.71332750072908
"der" 1.33597509198981 1.33259300388673 1.74608695652174 1.42142142142142 1.61290322580645 1.63610576436025 1.26419116553468 1.86605179902408 1.37215234409359 1.18785745710515 1.63312919218431
"zu" 1.27370506651571 1.41125300758838 1.14782608695652 0.995995995995996 1.35538086202223 0.982676527200891 1.58147836002181 1.39953884926806 1.25780631541912 1.74779026516818 1.91746864975211
"es" 1.35861873761676 1.20303535073108 1.00869565217391 1.26626626626627 1.16562754133912 1.02826461351433 1.57652074760795 1.53359429460025 1.20503122526168 1.66779986401632 0.882181393992418
"so" 1.27936597792245 1.29094947251527 1.1895652173913 1.45645645645646 1.46381133098401 1.1751595583021 1.21461504139606 1.45316102740093 1.2314187703404 1.22785265768108 0.99883347914844
"ist" 1.0699122558732 1.24005182306126 0.813913043478261 1.46646646646647 1.62645703442667 1.58038699219937 1.3385553517426 1.50678320553381 1.25780631541912 0.971883373995121 1.01341498979294
"das" 0.962354939145202 0.916157690172127 1.10608695652174 1.63163163163163 1.96530224993223 1.53479890588593 1.20469981656834 1.32983001769532 1.24901046705955 0.859896812382514 0.874890638670166
"daß" 1.09255590150014 1.286322413474 0.619130434782609 1.24624624624625 0.962320412035782 1.20555161584439 1.26419116553468 0.793608236366561 0.787228428181898 1.13186417629884 0.89676290463692
"mir" 1.03028587602604 1.1984082916898 0.883478260869565 0.975975975975976 0.840336134453782 0.693951980549083 0.882455009667344 0.895490374819025 1.04230803060955 1.22785265768108 1.13735783027122
"er" 0.645343900367959 1.07810475661669 0.890434782608696 0.620620620620621 1.00298183789645 0.749670752709958 0.743641862079223 1.05635690921765 1.3677544199138 0.963884333879934 1.22484689413823
"mich" 0.883102179450892 1.06422357949287 1.03652173913043 0.610610610610611 0.65058281377067 0.628102522540776 1.04605621932477 0.804332671993136 0.919166153575512 1.17585889693237 1.3196267133275
"was" 0.379281064251344 0.504349435498797 0.779130434782609 0.750750750750751 1.05719707237734 0.926957755040016 1.08571711863567 1.15287682985683 0.888380684317002 0.755909290885094 0.867599883347915
"ein" 0.656665723181432 0.675550620025911 1.07130434782609 0.970970970970971 1.12496611547845 0.734474723938811 0.907243071736652 0.72926162260711 0.804820124901047 0.691916969963604 0.780110819480898
"in" 0.93405038211152 0.726448269479919 0.862608695652174 0.650650650650651 0.637029005150447 0.81045486779455 0.684150513112885 0.992010295458202 0.64649485442871 0.883893932728073 0.452026829979586
"den" 0.537786583639966 0.583009439200444 1.2104347826087 0.720720720720721 0.799674708593115 0.617971836693344 0.694065737940608 0.734623840420398 0.787228428181898 0.691916969963604 1.26859142607174
"du" 0.186810076422304 0.763464741810105 1.21739130434783 0.845845845845846 0.0271076172404446 0.48627292067673 0.674235288285162 0.402166335996568 0.58492391591169 0.523937127544695 2.21638961796442
"wenn" 0.945372204924993 1.02720710716269 0.243478260869565 0.685685685685686 0.691244239631336 0.450815520210718 0.877497397253483 0.761434929486836 0.664086551147858 0.747910250769908 0.364537766112569
"von" 0.651004811774696 0.476587081251157 0.528695652173913 0.955955955955956 0.77256709135267 0.719278695167663 0.7337266372515 0.654190573221084 0.760840883103175 0.631924169099708 0.874890638670166
"mit" 0.877441268044155 0.615398852489358 0.507826086956522 0.605605605605606 0.664136622390892 0.547057035761321 0.679192900699023 0.868679285752587 0.598117688451051 0.703915530136384 0.590551181102362
"als" 0.622700254741013 0.661669442902091 0.521739130434783 0.640640640640641 0.664136622390892 0.379900719278695 0.59987110207724 0.50941069226232 0.435394493798927 0.779906411230652 0.590551181102362
"doch" 0.622700254741013 0.458078845086063 0.758260869565217 0.520520520520521 0.501490918948224 0.541991692837605 0.545337365524763 0.600568395088208 0.637699006069135 0.507939047314322 0.729075532225139
"sich" 0.549108406453439 0.46733296316861 0.598260869565217 0.580580580580581 0.555706153429114 0.638233208388208 0.629616776560408 0.563032870395195 0.49256750813616 0.667919849618046 0.554097404491105
"aber" 0.379281064251344 0.777345918933926 0.048695652173913 0.575575575575576 0.677690431011114 0.774997467328538 0.644489613801993 0.697088315727385 0.650892778608497 0.587929448466184 0.00729075532225139
"noch" 0.588734786300594 0.458078845086063 0.619130434782609 0.535535535535536 0.59636757928978 0.390031405126127 0.545337365524763 0.520135127888895 0.562934295012754 0.631924169099708 0.692621755613882
"nur" 0.464194735352392 0.342402369054229 0.591304347826087 0.590590590590591 0.555706153429114 0.567318407456185 0.584998264835655 0.50941069226232 0.46178203887765 0.555933288005439 0.860309128025664
"mein" 0.4189074440985 0.583009439200444 0.939130434782609 0.465465465465465 0.433721875847113 0.329247290041536 0.327202419314858 0.50941069226232 0.686076172046794 0.371955365356157 0.656167979002625
"auch" 0.475516558165865 0.49509531741625 0.563478260869565 0.570570570570571 0.691244239631336 0.374835376354979 0.50071885380001 0.611292830714784 0.488169583956373 0.49194096708395 0.349956255468066
"sein" 0.469855646759128 0.569128262076624 0.368695652173913 0.435435435435435 0.149091894822445 0.0506534292371594 0.7337266372515 0.493324038822457 0.633301081889348 0.759908810942687 0.47389909594634
"hat" 0.622700254741013 0.633907088654451 0.375652173913043 0.645645645645646 0.515044727568447 0.562253064532469 0.441227504833672 0.284197544104242 0.457384114697863 0.395952485701716 0.503062117235346
"ihr" 0.62836116614775 0.638534147695725 0.507826086956522 0.595595595595596 0.257522363784223 0.582514436227333 0.470973179316841 0.418252989436431 0.360629782742546 0.479942406911171 0.298920968212307
"wie" 0.30568921596377 0.471960022209883 0.584347826086957 0.475475475475475 0.352399024125779 0.638233208388208 0.490803628972287 0.525497345702182 0.46178203887765 0.411950565932088 0.561388159813357
"haben" 0.594395697707331 0.573755321117898 0.0626086956521739 0.735735735735736 0.880997560314448 0.511599635295309 0.510634078627733 0.402166335996568 0.514557129035095 0.451945766508019 0.00729075532225139
"ja" 0.61137843192754 0.569128262076624 0.278260869565217 0.845845845845846 0.894551368934671 0.638233208388208 0.337117644142581 0.316370850983967 0.510159204855308 0.243970723513178 0.094779819189268
