"","WORD","FREQ"
"1"," ",2254
"145","  ",3
"90","-",6
"24","—",19
"324","⸗",1
"3",",",130
"325",";",1
"2",":",133
"5","!",93
"7","?",65
"4",".",100
"200","‘",2
"326","’",1
"327","“",1
"9","(",46
"10",")",46
"201","13",2
"328","15",1
"329","16",1
"330","17",1
"202","22",2
"331","23",1
"332","25",1
"333","26",1
"146","א",3
"12","אַ",40
"147","אָ",3
"203","אב",2
"334","אָב",1
"335","אָבּ",1
"336","אַבֵּי",1
"337","אַבִּיסֶעל",1
"104","אָבֶּער",5
"91","אָבֶּער",6
"338","אַבֶּערְגְלויבֶּען",1
"339","אַבְּשִיער",1
"340","אָה",1
"148","אָהן",3
"204","אַהֶער",2
"21","אוי",21
"341","אויג",1
"81","אויגֶען",7
"342","אויגֶענְקְרַאנְקְהֵייט",1
"105","אויך",5
"117","אויךְ",4
"205","אוינֶען",2
"149","אויס",3
"343","אויסְבְּלֵייבֶּען",1
"344","אויסְגֶעוֶועהלְט",1
"206","אויסְגֶעזֶעהן",2
"345","אויסְגֶעלאסֶענֶע",1
"346","אויסְגֶעלַאסֶענֶע",1
"347","אויסְגֶעשְטְרֶעְקְט",1
"348","אויסְגֶעשְרִיען",1
"349","אויסְמָאהלֶען",1
"350","אויסֶערְוֶועהלְט",1
"351","אויפ",1
"30","אויף",16
"352","אויפְגֶעהֶערְט",1
"353","אויפהֶערֶען",1
"150","אויפטריט",3
"354","אויפטרעטען",1
"207","אוּם",2
"355","אומארמט",1
"31","און",16
"8","אוּן",51
"356","אוּנְאַנְגֶענֶעהם",1
"118","אוּנְגְלִיק",4
"357","אוּנְגְלִיקְלִיך",1
"208","אוּנְגְלִיקְלִיכֶען",2
"358","אוּנְגלִיקְלִיכֶער",1
"359","אוּנְגְלִיקְלִיכֶער",1
"360","אוּנְהֵיילְבַּאר",1
"361","אונְז",1
"151","אוּנְז",3
"362","אוּנְזעֶר",1
"363","אוּנְזֶער",1
"209","אונטער",2
"364","אונטערברעכענד",1
"365","אונְשוּלְדִיגֶען",1
"57","אַז",10
"119","אַזַא",4
"26","אַזוי",17
"366","אַזויפְיעל",1
"120","אִי",4
"367","אַיָא",1
"121","אִיבֶּער",4
"368","אִיבֶּערַאל",1
