"bodmer_Polytimet" "brentano_die-gruendung-prags-1814" "brentano_ponce-de-leon-1803" "gleim_Philotas" "goethe_der-buergergeneral-1793" "goethe_der-grosskophta-1791" "goethe_die-natuerliche-tochter-1803" "goethe_faust-der-tragoedie-zweiter-teil-1832" "goethe_torquato-tasso-1790" "iffland_das-erbtheil-des-vaters-1802" "iffland_der-spieler-1796" "kleist_amphitryon-1807" "kleist_der-zerbrochene-krug-1808" "kleist_die-familie-schroffenstein-1803" "kleist_die-hermannsschlacht-1808" "kleist_penthesilea-1808" "kleist_prinz-friedrich-von-homburg-1810" "kotzebue_der-hyperboreische-esel-1799" "kotzebue_die-deutschen-kleinstaedter-1802" "kotzebue_menschenhass-und-reue-1788" "schiller_die-braut-von-messina-1803" "schiller_die-jungfrau-von-orleans-1801" "schiller_die-piccolomini-1799" "schiller_kabale-und-liebe-1784" "schiller_maria-stuart-1800" "schiller_wallensteins-lager-1798" "schiller_wallensteins-tod-1799" "schiller_wilhelm-tell-1804" "schlegel_alarcos-1802" "tieck_der-gestiefelte-kater-1797" "tieck_die-verkehrte-welt-1800" "tieck_prinz-zerbino-1799" "tieck_ritter-blaubart-1797" "werner_der-vierundzwanzigste-februar-1809"
"den" 1.00047641734159 1.55355939111759 0.719671007539411 0.831322070260123 0.86473131562693 0.717726870514207 0.717323359122816 0.816818729949262 0.845435055216213 0.830249074722417 0.727407879367102 1.29901084495293 1.45289904041087 0.991183941823978 1.42136385829762 1.51607603848862 1.35543278084715 0.697578990562167 0.811224150541924 0.845176826101327 1.08111044711251 1.1144553811112 1.2115363996998 1.07115531752104 0.965562816653205 1.32693393562959 1.02425284413067 1.34774316592498 1.05846275596004 1.0079901659496 0.84318766066838 0.915392149476381 0.647300284180613 0.841121495327103
"es" 1.07193901858028 0.782266534982521 1.20256713813945 1.60901045856798 1.26621371216801 1.32730311670436 0.691704667725573 1.0147664444495 1.49265806399417 1.24537361208363 1.34862482743974 0.840185913478727 0.669009325584538 1.36474572894357 0.710681929148809 0.694672612062896 0.692449355432781 1.31308986458761 1.01070549903584 0.736578686434676 0.771445645678275 0.776864882453429 1.13648547228476 0.930213828373535 0.954548792128644 0.649350649350649 1.06449134872151 0.873066327611782 1.18706103472154 1.19852489244007 1.25449871465296 1.16025013184661 1.47352910219977 0.801068090787717
"in" 0.929013816102906 1.09266487952468 0.934637672129105 0.643604183427192 0.710315009264978 1.24373217972667 0.922272890300763 0.912379695570067 0.906112212289147 0.905271581474442 0.727407879367102 0.935526158979859 0.878497094201919 0.767046869552224 1.3128628004123 1.05139638582492 1.12707182320442 0.738613048830529 0.930912959638274 1.07181642192738 1.26039006899549 1.19986984462702 1.00782673957328 0.91410622961382 1.08671708642338 1.03049124788255 0.984014339539818 1.15702479338843 1.24641408645761 1.04486785494776 0.997429305912596 1.21675582008589 0.810441006209873 0.734312416555407
"ein" 0.929013816102906 0.923356691592594 0.98136955573556 1.20675784392599 0.86473131562693 0.761970307737686 1.21432597222934 1.04434483857023 0.728125884875207 0.820246073822147 0.89731336943825 1.07853652723156 1.26368428165968 1.32987996214574 0.905983833342375 0.666510208871157 0.85451197053407 1.45670906852688 1.21018684752976 1.31734265073894 0.727983919161189 0.679248352721061 0.782673957328187 0.652357749768453 0.800352448784786 1.10107284020328 0.757215495482313 0.856113583386311 0.494608764467306 1.19852489244007 0.951156812339332 0.954946131243879 0.847279233764867 1.20160213618158
"mir" 0.643163411148166 0.998604775117967 0.847404822730388 0.992223116116921 0.617665225447807 0.899616556877397 1.00425270277194 0.550613182862734 1.04364710165446 0.690207062118636 0.807051077837953 1.894887379335 1.0879848628193 1.16551277581312 1.15011121358433 1.11241492607369 1.20810313075506 0.718096019696348 0.671587206596183 1.07181642192738 1.07024501548324 0.833807858130644 0.793395518387477 0.805379937985745 1.00961891475145 0.46583850931677 1.02059479825877 0.661157024793388 0.761697497279652 0.842040565457898 0.791773778920309 0.855119415354479 1.01568255973055 1.06809078771696
"er" 3.09671272034302 0.713289125084262 0.993831391363948 2.09171359613838 1.38974675725757 0.983187493855078 0.404775324076446 0.803167163432004 1.23376886048299 0.970291087326198 1.05129021981523 0.816350852103444 1.15556156237329 1.16551277581312 1.00363478543916 0.87303449894391 1.43646408839779 0.90274928190398 1.21683622581289 1.03404315595637 0.467213560058673 0.569429756772147 1.23834030234802 0.833568235815246 0.565386592260812 1.63749294184077 1.152284449647 0.979020979020979 0.544069640914037 1.02642901044868 0.622107969151671 0.738340992993295 0.878854857383433 1.56208277703605
"so" 0.905192949023344 0.691341767389362 1.33964733005172 0.724054706355591 1.15812229771464 0.830793432307541 0.855664292667931 0.844121862983777 1.16500141580033 1.39041712513754 1.12562387172135 0.852103444166369 0.925800783889715 1.30497584300443 0.726957087831606 0.88242196667449 0.714548802946593 1.08740254411161 0.817873528825055 0.925445016289721 0.380290107024502 0.500284714878386 0.745148493620671 0.72484194418717 0.554372567736251 0.846979107848673 0.632841935837875 0.563678745496927 1.07824710653873 1.3460356484327 1.18251928020566 1.29586378362088 1.44721608251763 0.96128170894526
"mich" 0.762267746545974 0.600416999796203 0.912829459779426 0.992223116116921 0.694873378628783 1.17982499262609 1.42952297996618 0.600668926759346 1.20545285384895 0.860258077423227 1.01412339386216 1.16195924204505 0.43924854710096 0.871644169945709 0.781207616774264 0.605491668622389 0.677716390423573 0.492408699220353 0.405612075270962 0.67047547098541 0.934427120117347 0.740258683803791 0.637932883027769 0.853702734264889 1.00594757324326 0.282326369282891 0.753557449610418 0.525535070989616 0.910080126619844 0.534726490473264 0.663239074550129 0.740224515934604 0.74728975897274 1.04138851802403
"ihr" 0.166746069556932 0.964116070168838 1.38949467256527 0.563153660498793 1.88387893761581 0.707894995575656 0.461136445150382 0.591567882414507 0.271024634925772 0.410123036911073 0.483168737389827 0.655464187820284 1.68265981889445 0.263983662897843 0.580480659686432 1.22506453884065 0.537753222836096 0.14361920393927 0.259325753042091 0.339959393739081 0.516108002390395 0.923289677051981 0.536078052964512 0.273829178915153 1.54563477494677 0.691699604743083 0.79013790832937 1.25450307268489 0.346226135127114 0.417947141979103 0.796915167095116 0.742108038875913 1.27881275655194 0.921228304405875
"mit" 0.833730347784659 0.841837934440107 0.551436226556172 0.482703137570394 0.509573810994441 0.540753121620293 0.748065788799508 0.666651498259425 0.809028760972453 0.750225067520256 0.711479239672932 0.524371350256227 0.493309906744155 0.647507097673955 0.873433515976781 0.887115700539779 0.699815837937385 0.677061961427985 0.664937828313053 0.613815572028897 0.798609224751453 0.752460750020337 0.836281762624638 0.716788144807313 0.748953667670167 0.804630152456239 0.78282181658558 0.856113583386311 0.74191314670096 0.553165334972342 0.555269922879177 0.708204625932344 0.615724660562046 0.680907877169559
"wie" 0.381133873272987 0.608255341830096 0.769518350052963 1.09949048002145 0.911056207535516 0.678399370760004 0.573858687298253 0.855498168414826 0.841389911411351 0.5851755526658 0.552192842731231 0.828268382791086 0.770374374915529 1.03601135627833 0.710681929148809 0.995071579441446 0.677716390423573 0.882232252769799 0.525300884367312 0.514660748854998 0.429184549356223 0.48808264866184 0.654015224616704 0.676519147908026 0.525001835670754 0.77639751552795 0.618209752350295 0.53824962915872 0.900187951330498 0.719114935464044 0.575835475578406 0.760943268289008 0.926218292811283 1.00133511348465
"was" 0.476417341591234 0.396620106914985 0.535858932020687 0.750871547331724 1.12723903644225 0.781634057614787 0.763437003637854 0.643898887397329 0.760487035314105 0.780234070221066 0.684931506849315 1.0904540579192 1.26368428165968 0.622602978532649 1.04161015569902 0.783853555503403 0.965009208103131 0.841198194501436 0.691535341445575 0.410784267434723 0.613896887053838 0.496217359472871 0.729066152031736 0.765110941086457 0.653498788457302 0.818746470920384 0.808428137688847 0.669633396906124 0.642991393807498 0.399508297480025 0.616966580976864 0.55752279062759 0.394695295232081 0.54739652870494
"sich" 0.666984278227727 0.468732853626801 0.38631690448003 0.294985250737463 0.648548486720198 0.698063120637106 1.02474765588974 1.20816363677732 1.0072408074107 0.425127538261478 0.451311458001487 0.488618758193302 0.54061359643195 0.353638491806545 0.504529919166712 0.910584369866229 0.530386740331492 0.59499384489126 0.598444045481747 0.552434014826007 0.923561688488075 0.723989262181729 0.729066152031736 0.507389360931019 0.660841471473676 0.903444381705251 0.632841935837875 0.639966094511549 0.603422692650114 0.768285187461586 0.627249357326478 0.670534167106155 0.473634354278497 0.48064085447263
"dem" 0.452596474511672 0.926492028406152 0.408125116829709 0.509519978546527 0.41692402717727 0.545669059089568 0.614848593533842 0.646174148483538 0.493507544193196 0.5851755526658 0.584050122119571 0.566082707662972 0.614947965941343 0.62758380236091 0.802907828351326 0.59141046702652 0.913443830570902 0.410340582683627 0.558547775782964 0.458000849898484 0.896398109414897 0.73212397299276 0.884528787391444 0.620142552249023 0.613114031867244 0.988142292490119 0.845008596407799 0.932400932400932 0.751805321990306 0.534726490473264 0.318766066838046 0.423792661794621 0.442058730659931 0.507343124165554
"von" 0.666984278227727 0.536142595118281 0.442395164807776 0.884955752212389 0.185299567634342 0.575164683905221 0.66096223804888 0.593843143500717 0.715990453460621 0.825247574272282 0.91324200913242 0.762721964009057 0.621705635896743 0.632564626189172 0.694406770466012 0.722835015254635 0.906077348066298 0.779647107098892 0.50535274951792 0.717692053449171 0.619329602868474 0.654844220287969 0.600407419320253 0.672492248218097 0.763639033702915 0.62111801242236 0.640158027581666 0.699300699300699 0.514393115045999 0.565457897971727 0.55012853470437 0.578241542981993 0.526260393642774 0.493991989319092
"auf" 0.333492139113864 0.594146326169089 0.51093526076391 0.509519978546527 0.586781964175417 0.545669059089568 0.650714761489983 0.516484266569589 0.610816714534202 0.415124537361208 0.435382818307317 0.679299249195567 0.797405054737127 0.532948149623948 0.754082352302935 0.812015958695142 0.972375690607735 0.307755437012721 0.698184719728705 0.646867179753529 0.510675286575759 0.54909297974457 0.562881955612737 0.63222325131881 0.624128056391806 0.409373235460192 0.497494238577752 0.661157024793388 0.237412206944307 0.41180086047941 0.452442159383033 0.420025615912002 0.578886433007052 0.61415220293725
"daß" 1.54835636017151 0.424838138237 0.579475356720045 0.724054706355591 0.725756639901174 0.850457182184643 0.286929343649126 0.229801369707174 0.610816714534202 0.67520256076823 0.584050122119571 0.810392086759623 0.459521556967158 0.597698859391343 0.390603808387132 0.394273644684346 0.30939226519337 0.553959786622897 0.465456479819137 0.46272250814486 0.358559243765959 0.353859920279834 0.589685858260963 0.604034953489309 0.690212203539173 0.352907961603614 0.387752862420895 0.385674931129477 0.79137402314769 0.909649661954517 0.704370179948586 0.704437580049725 0.694663719608462 0.213618157543391
"des" 0.619342544068604 0.931195033626487 0.112156520655493 0.509519978546527 0.0154416306361952 0.290040310687248 0.619972331813291 0.404996473345316 0.436875530925124 0.325097529258778 0.159286396941701 0.357525920629246 0.155426408974186 0.219156248443493 0.656431400206152 0.619572870218259 0.670349907918969 0.287238407878539 0.172883835361394 0.165258038623164 1.14630303688814 0.675180997315545 0.568242736142382 0.370474771473443 0.668184154490051 0.564652738565782 0.577971247759447 0.847637211273575 0.61331486793946 0.264290104486785 0.154241645244216 0.212838092367965 0.105252078728555 0.400534045393858
"doch" 0.0952834683182468 0.379375754440421 0.467318836064552 0.241351568785197 0.478690549722051 0.157309999016813 0.384280370958651 0.789515596914746 0.4287852433154 0.375112533760128 0.387596899224806 0.411154808723632 0.533855926476551 0.801912636350052 0.401453914175663 0.474067120394274 0.331491712707182 0.430857611817809 0.6316909368974 0.424949242173851 0.320530233063508 0.329455787846742 0.466387906079125 0.394636169613015 0.264336588589471 0.338791643139469 0.362146541317628 0.389913117185844 0.375902660995153 0.626920712968654 0.55012853470437 0.597076772395088 0.663088095989896 0.587449933244326
"mein" 0.452596474511672 0.390349433287871 0.417471493551 0.53633681952266 0.355157504632489 0.314619998033625 0.404775324076446 0.147891970603627 0.400469236681364 0.620186055816745 0.716788786237655 0.542247646287689 0.418975537234761 0.428350849230463 0.623881082840558 0.183055620746304 0.876611418047882 0.512925728354534 0.605093423764878 0.495774115869493 0.423751833541587 0.451476450012202 0.402058539723384 0.765110941086457 0.458917688523386 0.15527950310559 0.47554596334638 0.394151303242212 0.48471658917796 0.381069452980947 0.611825192802057 0.55752279062759 0.347331859804231 0.534045393858478
"an" 0.190566936636494 0.437379485491229 0.383201445572933 0.294985250737463 0.355157504632489 0.368695310195654 0.512373827944869 0.530135833086847 0.533958982241819 0.460138041412424 0.48847828395455 0.280061971159576 0.256791458305176 0.478159087513075 0.623881082840558 0.436517249471955 0.478821362799263 0.492408699220353 0.312520779307135 0.424949242173851 0.537838865648938 0.573497112177662 0.536078052964512 0.559739056900093 0.469931713047948 0.395256916996047 0.435307458755533 0.546726001271456 0.405579186863191 0.381069452980947 0.38560411311054 0.420025615912002 0.315756236185665 0.440587449933244
"wir" 0.309671272034302 0.35742839674552 0.417471493551 0.402252614641995 0.849289684990735 0.506341559335365 0.225444484295742 0.63479784305249 0.39237894907164 0.690207062118636 0.39290644578953 0.202598021689906 0.202730098661981 0.358619315634806 0.271252644713286 0.361417507627318 0.132596685082873 0.328272466146902 0.452157723252876 0.344681051985457 0.380290107024502 0.557227690555601 0.589685858260963 0.265775379535296 0.146853660327484 1.07284020327499 0.471887917474485 0.826446280991736 0.1285982787615 0.547019053472649 0.791773778920309 0.583892111805922 0.58414903694348 0.267022696929239
"wenn" 0.500238208670796 0.10033077803383 0.529628014206493 0.455886296594261 0.525015441630636 0.634155933536525 0.548239995901009 0.273031330345157 0.631042433558513 0.440132039611884 0.515026016778167 0.679299249195567 0.54737126638735 0.473178263684813 0.520805077849509 0.511616991316592 0.265193370165746 0.533442757488716 0.465456479819137 0.632702205014401 0.233606780029337 0.313186366224681 0.332368392837997 0.583900455039665 0.334092077245025 0.225861095426313 0.252405165160771 0.389913117185844 0.356118310416461 0.669944683466503 0.524421593830334 0.565056882392828 0.889380065256289 0.48064085447263
"nur" 0.309671272034302 0.330778033830284 0.457972459343261 0.724054706355591 1.00370599135269 0.486677809458264 0.415022800635344 0.389069645741849 0.602726426924477 0.370111033309993 0.329191887012849 0.220474317721368 0.209487768617381 0.508044030482642 0.298377909184615 0.206524290072753 0.228360957642726 0.759130077964711 0.525300884367312 0.349402710231833 0.277068506546423 0.203367770275767 0.434223222901254 0.446985865582088 0.301050003671341 0.522303783173348 0.39872700003658 0.228862047043865 0.593530517360768 0.694529809465274 0.647814910025707 0.548105175921043 0.873592253447006 0.520694259012016
"noch" 0.166746069556932 0.236717929423568 0.333354103059381 0.348618932689729 0.324274243360099 0.358863435257104 0.297176820208024 0.266205547086528 0.343837223413292 0.360108032409723 0.39290644578953 0.464783696818019 0.641978645762941 0.493101558997858 0.320078120761677 0.539779394508331 0.412523020257827 0.553959786622897 0.565197154066095 0.448557533405732 0.309664801434237 0.349792564874319 0.45030556449019 0.60000805379938 0.345106101769587 0.451722190852626 0.501152284449647 0.271243907607544 0.573746166782075 0.516287645974186 0.452442159383033 0.45769607473819 0.663088095989896 0.48064085447263
"dich" 0.262029537875179 0.476571195660694 0.461087918250358 0.482703137570394 0.138974675725757 0.250712810933045 0.671209714607778 0.313986029896931 0.796893329557866 0.100030009002701 0.345120526707019 0.852103444166369 0.141911069063387 0.747123574239179 0.580480659686432 0.628960337948838 0.471454880294659 0.553959786622897 0.0797925393975663 0.250247887057935 0.505242570761123 0.646709509476938 0.24123512383403 0.358394072403656 0.352448784785961 0.0988142292490119 0.497494238577752 0.250052977325705 0.405579186863191 0.147510755992624 0.236503856041131 0.22978979883975 0.336806651931376 0.267022696929239
"als" 0.762267746545974 0.457759174779351 0.392547822294224 0.616787342451059 0.200741198270537 0.530921246681742 0.497002613106522 0.336738640759027 0.416649811900813 0.335100530159048 0.276096421365615 0.518412584912406 0.459521556967158 0.498082382826119 0.444854337329789 0.497535789720723 0.405156537753223 0.471891670086171 0.292572644457743 0.406062609188347 0.33139566469278 0.329455787846742 0.444944783960545 0.374501671163371 0.367134150818709 0.367024280067758 0.3072758532392 0.271243907607544 0.296765258680384 0.381069452980947 0.323907455012853 0.297596624726889 0.410483107041364 0.560747663551402
"dir" 0.571700809909481 0.545548605558952 0.339585020873575 0.429069455618128 0.0308832612723904 0.240880935994494 0.548239995901009 0.273031330345157 0.675539015411998 0.105031509452836 0.223000955718382 1.04874270051245 0.162184078929585 0.891567465258754 0.911408886236641 0.671203942736447 0.744014732965009 0.410340582683627 0.0664937828313053 0.217196279333302 0.516108002390395 0.42707231757911 0.273399807011901 0.233560182015866 0.231294515015787 0.0705815923207228 0.354830449573838 0.165289256198347 0.573746166782075 0.153657037492317 0.149100257069409 0.22978979883975 0.399957899168509 0.173564753004005
"auch" 0.166746069556932 0.322939691796391 0.464203377157455 0.241351568785197 0.401482396541075 0.240880935994494 0.348414203002511 0.423198562034994 0.432830387120262 0.320096028808643 0.254858235106722 0.482659992849482 0.452763887011758 0.303830253523933 0.292952856290349 0.29570523351326 0.206261510128913 0.656544932293804 0.605093423764878 0.481609141130365 0.304232085619601 0.207435125681282 0.48247024766806 0.430878266822373 0.249651222556722 0.381140598531903 0.39872700003658 0.313625768171223 0.346226135127114 0.491702519975415 0.575835475578406 0.465230166503428 0.442058730659931 0.587449933244326
"nun" 0.0238208670795617 0.315101349762498 0.473549753878746 0.241351568785197 0.83384805435454 0.275292498279422 0.420146538914792 0.368592295965962 0.311476072974394 0.765229568870661 0.546883296166507 0.214515552377547 0.304095147992972 0.747123574239179 0.412304019964195 0.29570523351326 0.338858195211786 0.410340582683627 0.571846532349225 0.542990698333255 0.0434617265170859 0.113885951354429 0.225152782245095 0.136914589457577 0.165210367868419 0.169395821569735 0.186560339466657 0.067810976901886 0.494608764467306 0.590043023970498 0.616966580976864 0.461463120620809 0.720976739290601 0.48064085447263
"uns" 0.190566936636494 0.373105080813306 0.274160383824537 0.134084204880665 0.370599135268684 0.412938747419133 0.415022800635344 0.468703783759186 0.598681283119615 0.505151545463639 0.217691409153658 0.23835061375283 0.168941748884984 0.268964486726105 0.30380296207888 0.384886176953767 0.198895027624309 0.205170291341814 0.192831970210785 0.151093063884036 0.25533764328788 0.475880582445294 0.562881955612737 0.205371884186365 0.161539026360232 0.974025974025974 0.504810330321542 0.53824962915872 0.356118310416461 0.295021511985249 0.42159383033419 0.344684698259625 0.331544047994948 0.520694259012016
"ihn" 0.643163411148166 0.451488501152236 0.395663281201321 0.348618932689729 0.370599135268684 0.250712810933045 0.143464671824563 0.202498236672658 0.525868694632094 0.165049514854456 0.334501433577572 0.452866166130378 0.425733207190161 0.478159087513075 0.428579178646992 0.59141046702652 0.633517495395948 0.410340582683627 0.172883835361394 0.245526228811559 0.277068506546423 0.264378101358497 0.519995711375576 0.310071276124512 0.279021954622219 0.296442687747036 0.581629293631342 0.432294977749523 0.227520031654961 0.288875230485556 0.16452442159383 0.233556844722369 0.257867592884959 0.48064085447263
"euch" 0.0238208670795617 0.427973475050557 0.641784534861985 0.107267363904532 0.756639901173564 0.299872185625799 0.102474765588974 0.359491251621123 0.105173738926419 0.0950285085525658 0.207072316024212 0.3158145632225 0.75685903500473 0.0896548289087015 0.195301904193566 0.220605491668622 0.169429097605893 0.0820681165367255 0.0332468914156526 0.0283299494782568 0.282501222361058 0.553160335150085 0.23051356277474 0.0523496959690734 0.917835377046773 0.324675324675325 0.446281596371219 0.728968001695274 0.0692452270254229 0.215119852489244 0.323907455012853 0.339034129435697 0.773602778654878 0.387182910547397
"hat" 0.881372081943783 0.255529950304911 0.317776808523896 0.348618932689729 0.401482396541075 0.339199685380002 0.163959624942358 0.207048758845077 0.307430929169532 0.485145543663099 0.653074227460975 0.297938267191038 0.310852817948371 0.348657667978284 0.271252644713286 0.0891809434405069 0.353591160220994 0.45137464095199 0.857769798523838 0.443835875159356 0.244472211658608 0.292849589197104 0.353811514956578 0.358394072403656 0.308392686687716 0.550536420101638 0.351172403701942 0.313625768171223 0.316549609259076 0.454824830977259 0.493573264781491 0.314548331198674 0.331544047994948 0.347129506008011
"im" 0.14292520247737 0.437379485491229 0.299084055081313 0.134084204880665 0.293390982087708 0.152394061547537 0.456012706870933 0.580191576983459 0.283160066340358 0.245073522056617 0.0902622916002973 0.250268144440472 0.479794566833356 0.263983662897843 0.374328649704335 0.464679652663694 0.537753222836096 0.246204349610176 0.292572644457743 0.245526228811559 0.249904927473244 0.30505165541365 0.268039026482256 0.249667780775581 0.2276231735076 0.46583850931677 0.281669532135933 0.334816698453062 0.61331486793946 0.270436385986478 0.298200514138817 0.323965945905221 0.236817177139248 0.520694259012016
"da" 0.0476417341591234 0.192823214033768 0.411240575736806 0.241351568785197 0.911056207535516 0.162225936486088 0.153712148383461 0.386794384655639 0.230573196877149 0.430129038711614 0.568121482425401 0.274103205815755 0.385187187457765 0.154405538676097 0.249552433136223 0.234686693264492 0.279926335174954 0.205170291341814 0.638340315180531 0.542990698333255 0.277068506546423 0.256243390547466 0.327007612308352 0.261748479845367 0.20192378295029 0.945793337097685 0.263379302776457 0.39838948929858 0.257196557522999 0.374923171481254 0.544987146529563 0.335267083553078 0.384170087359225 0.587449933244326
