"bodmer_Polytimet" "brentano_die-gruendung-prags-1814" "brentano_ponce-de-leon-1803" "gleim_Philotas" "goethe_der-buergergeneral-1793" "goethe_der-grosskophta-1791" "goethe_die-natuerliche-tochter-1803" "goethe_faust-der-tragoedie-zweiter-teil-1832" "goethe_torquato-tasso-1790" "iffland_das-erbtheil-des-vaters-1802" "iffland_der-spieler-1796" "kleist_amphitryon-1807" "kleist_der-zerbrochene-krug-1808" "kleist_die-familie-schroffenstein-1803" "kleist_die-hermannsschlacht-1808" "kleist_penthesilea-1808" "kleist_prinz-friedrich-von-homburg-1810" "kotzebue_der-hyperboreische-esel-1799" "kotzebue_die-deutschen-kleinstaedter-1802" "kotzebue_menschenhass-und-reue-1788" "schiller_die-braut-von-messina-1803" "schiller_die-jungfrau-von-orleans-1801" "schiller_die-piccolomini-1799" "schiller_kabale-und-liebe-1784" "schiller_maria-stuart-1800" "schiller_wallensteins-lager-1798" "schiller_wallensteins-tod-1799" "schiller_wilhelm-tell-1804" "schlegel_alarcos-1802" "tieck_der-gestiefelte-kater-1797" "tieck_die-verkehrte-welt-1800" "tieck_prinz-zerbino-1799" "tieck_ritter-blaubart-1797" "werner_der-vierundzwanzigste-februar-1809"
"ich" 2.42972844211529 2.15867939613413 3.72297339398093 2.73531777956557 3.10376775787523 3.35266935404582 2.28518727263411 1.80883256353667 2.9691355527689 3.17595278583575 3.54146755867049 3.95662018829698 3.51398837680768 3.12795736414803 2.52264959583356 2.07463036845811 2.52670349907919 2.72876487484612 2.46691934304143 3.21544926578214 2.53164556962025 2.04587976897421 1.96204567385011 2.85909877984939 2.60298112930465 1.19988706945229 2.34480740388484 2.10214028395847 2.58185775051934 2.79041180086048 2.87403598971722 2.57289233782867 3.47331859804231 2.67022696929239
"und" 1.83420676512625 2.40010033077803 2.56402268054084 1.63582729954411 2.71772699197035 2.01061842493363 2.546497924886 2.68480808172738 3.2482504753044 2.00560168050415 1.93798449612403 2.19282564652604 2.26381943505879 1.56895950590228 1.86079314273314 2.06054916686224 2.11418047882136 2.15428805908904 1.90837156725846 1.9972614382171 2.35779866355191 2.5461644838526 2.00493191808727 2.16647203318165 1.8760555106836 3.41614906832298 2.20580166075283 2.55562619198983 2.26530814126026 1.97910264290104 2.25192802056555 2.41279288781737 2.1997684454268 1.86915887850467
"die" 1.9294902334445 2.97229929925222 2.03751012524145 1.09949048002145 2.03829524397776 2.14826467407335 1.69595737049752 2.03635867215763 1.99021075199223 1.70551165349605 1.16810024423914 1.73400071505184 2.35842681443438 1.7333266922349 2.5009493842565 2.66134710161934 2.27624309392265 1.80549856380796 2.30068488596316 1.581755512536 2.87933938175694 2.61937688115187 2.0907044065616 1.89666975395643 2.68375064248476 2.28684359119142 2.17287924790577 2.27590591226955 2.4235829458898 1.82544560540873 1.81491002570694 2.32426730957583 1.66298284391117 1.58878504672897
"der" 1.83420676512625 2.72774302779476 1.41753380272914 2.03807991418611 1.48239654107474 1.77465342640842 1.97776297586719 1.97037610065755 1.77581813033453 1.66049814944483 1.90612721673569 1.76379454177095 2.40573050412218 1.62374856801315 2.63115065371887 2.60032856137057 2.76979742173112 2.19532211735741 2.57330939557151 1.96420983049247 3.30309121529853 2.7332628325063 2.54100997105179 1.920831152096 2.45979881048535 2.80914737436477 2.30822694516589 3.01335028607756 2.09714116134138 1.84388444990781 1.69151670951157 1.79499736306788 1.42090306283549 2.41655540720961
"nicht" 1.71510242972844 1.04406715891455 1.81008162502337 1.15312416197372 1.66769610870908 1.5386884278832 1.1784598042732 1.20816363677732 1.57760608389628 1.68050415124537 1.53445895720505 1.80550589917769 1.73672117853764 1.71838422075011 1.122985949113 1.29547054682 1.18600368324125 2.01066885514977 1.28333000864419 1.67146701921715 1.28755364806867 1.41543968111934 1.68328508630857 1.38525349333548 1.62640428812688 1.58102766798419 1.95339649559205 1.42403051493961 0.811158373726382 1.41364474492932 1.40359897172237 1.36743765539064 1.81033575413114 1.30841121495327
"sie" 0.500238208670796 1.39836021884651 1.31783911770204 0.402252614641995 1.20444718962322 3.74102841411857 1.21432597222934 1.07164797160474 0.764532179118968 2.44573372011603 2.1344377190188 0.363484685973066 0.966346803622111 0.846740050804403 0.726957087831606 2.13095517484159 0.441988950276243 1.84653262207632 1.95491721524038 2.22390103404316 1.37990981691748 1.60253802977304 1.39916371823738 2.28325212418959 1.54196343343858 0.790513833992095 1.10107180744047 0.762873490146217 0.66277574438619 1.5119852489244 1.14652956298201 1.14894899419875 0.678875907799179 0.801068090787717
"das" 1.4292520247737 1.11461223721958 1.18075892578977 1.28720836685438 2.02285361334157 0.983187493855078 1.21944971050879 1.38790926258788 1.24185914809271 1.91557467240172 1.30083890835723 1.16791800738887 1.0812271928639 1.66359515863924 1.44306406987468 1.13118986153485 1.31123388581952 1.41567501025851 1.5027594919875 1.37400254969545 1.35817895365893 1.26901488652078 1.40988527929667 1.56243707969234 1.27762684484911 1.9339356295878 1.41932179829535 1.37317228226319 0.91997230190919 1.43822987092809 1.6401028277635 1.22428991185113 1.3472266077255 1.46862483311081
"ist" 0.643163411148166 0.863785292135008 1.47049660414979 1.26039152587825 2.10006176652254 1.16999311768754 0.681457191166675 0.946508611863211 0.910157356094009 1.71551465439632 1.81055537857067 0.94148492432368 1.0677118529531 1.52911291527619 0.721532034937341 0.59141046702652 0.994475138121547 2.21583914649159 1.42296695258993 1.22763114405779 1.09740859455642 1.36663141625315 1.20617561917015 1.21209680666855 1.22622806373449 1.53867871259176 1.69733328455939 1.33079042169951 0.61331486793946 1.73325138291334 1.57840616966581 1.37120470127326 1.77876013051258 1.21495327102804
"zu" 1.78656503096713 1.00644311715186 0.990715932456851 1.34084204880665 0.957381099444101 1.53377249041392 1.66521494082082 1.37880821824304 1.46434205736014 1.14534360308092 0.982266114473824 0.85806220951019 0.750101365049331 0.811874284006575 0.922258992025172 0.924665571462098 0.994475138121547 1.18998768978252 1.20353746924663 1.17569290334766 0.961590699190525 1.16326364597739 1.37235981558915 1.20806990697862 1.49423599383215 0.790513833992095 1.22178732121301 1.14854842127569 1.09803145711742 1.22925629993854 1.33676092544987 1.22428991185113 0.97884433217556 0.934579439252336
"du" 0.881372081943783 1.04093182210099 1.55461399464141 1.55537677661571 0.41692402717727 0.825877494838266 1.60373008146744 0.866874473845874 1.75559241131022 0.355106531959588 0.610597854943188 2.52055774043618 0.723070685227733 2.51033520944364 1.99099441219552 1.73668153015724 1.54696132596685 1.02585145670907 0.352417049005918 0.580763964304264 1.11370674200033 1.26088017570975 0.841642543154283 1.15974711069947 0.583743299801748 0.268210050818746 0.903537330358123 0.656918838737021 1.21673756058957 0.460971112476951 0.637532133676093 0.632863708279967 1.08935901484054 0.654205607476635
