"","X","token","tag","lemma","pos","category","funct","case","pers","num","gender","tense","mode"
"34",34,"[","SYM.Paren.Left","[","SYM","Paren","Left",NA,NA,NA,NA,NA,NA
"36",36,"104","CARD","[number]","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"38",38,"]","SYM.Paren.Right","]","SYM","Paren","Right",NA,NA,NA,NA,NA,NA
"39",39,"Personen","N.Reg.Acc.Pl.Fem","Person","N","Reg",NA,"Acc",NA,"Pl","Fem",NA,NA
"41",41,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"44",44,"Aridäus","N.Reg.Nom.Sg.Masc","Aridäus","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"46",46,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"47",47,"König","N.Reg.Nom.Sg.Masc","König","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"49",49,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"52",52,"Strato","N.Name.Nom.Sg.Masc","Strato","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"54",54,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"55",55,"Feldherr","N.Reg.Nom.Sg.Masc","Feldherr","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"56",56,"des","ART.Def.Gen.Sg.Masc","die","ART","Gen",NA,"Gen",NA,"Sg","Masc",NA,NA
"57",57,"Aridäus","N.Reg.Gen.Sg.Masc","Aridäus","N","Gen",NA,"Gen",NA,"Sg","Masc",NA,NA
"59",59,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"62",62,"Philotas","N.Name.Nom.Sg.*","Philotas","N","Name",NA,"Nom",NA,"Sg",NA,NA,NA
"64",64,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"65",65,"gefangen","ADJD.Pos","gefangen","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"67",67,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"70",70,"Parmenio","N.Name.Nom.Sg.Masc","Parmenio","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"72",72,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"73",73,"Soldat","N.Reg.Nom.Sg.Masc","Soldat","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"75",75,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"78",78,"Die","ART.Def.Nom.Sg.Fem","die","ART","Def",NA,"Nom",NA,"Sg","Fem",NA,NA
"79",79,"Scene","N.Reg.Nom.Sg.Fem","Scene","N","Reg",NA,"Nom",NA,"Sg","Fem",NA,NA
"81",81,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"82",82,"ein","ART.Indef.Nom.Sg.Neut","eine","ART","Indef",NA,"Nom",NA,"Sg","Neut",NA,NA
"83",83,"Zelt","N.Reg.Nom.Sg.Neut","Zelt","N","Reg",NA,"Nom",NA,"Sg","Neut",NA,NA
"84",84,"im","APPRART.Dat.Sg.Neut","in","APPRART",NA,NA,"Dat",NA,"Sg","Neut",NA,NA
"85",85,"Lager","N.Reg.Dat.Sg.Neut","Lager","N","Reg",NA,"Dat",NA,"Sg","Neut",NA,NA
"86",86,"des","ART.Def.Gen.Sg.Masc","die","ART","Gen",NA,"Gen",NA,"Sg","Masc",NA,NA
"87",87,"Aridäus","N.Reg.Gen.Sg.Masc","Aridäus","N","Gen",NA,"Gen",NA,"Sg","Masc",NA,NA
"89",89,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"92",92,"[","SYM.Paren.Left","[","SYM","Paren","Left",NA,NA,NA,NA,NA,NA
"94",94,"105","CARD","[number]","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"96",96,"]","SYM.Paren.Right","]","SYM","Paren","Right",NA,NA,NA,NA,NA,NA
"97",97,"Philotas","N.Reg.*.*.Masc","Philotas","N","Reg",NA,NA,NA,NA,"Masc",NA,NA
"99",99,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"102",102,"Erster","ADJA.Pos.Nom.Sg.Masc","erst","ADJA","Pos",NA,"Nom",NA,"Sg","Masc",NA,NA
"103",103,"Auftritt","N.Reg.Nom.Sg.Masc","Auftritt","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"105",105,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"108",108,"Philotas","N.Name.Nom.Sg.Neut","Philotas","N","Name",NA,"Nom",NA,"Sg","Neut",NA,NA
"110",110,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"113",113,"Gefangen","ADJD.Pos","gefangen","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"115",115,"?","SYM.Pun.Sent","?","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"116",116,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"117",117,"gefangen","ADJD.Pos","gefangen","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"119",119,"?","SYM.Pun.Sent","?","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"122",122,"Götter","N.Reg.Nom.Pl.Masc","Gott","N","Reg",NA,"Nom",NA,"Pl","Masc",NA,NA
"124",124,"!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"127",127,"Ach","ITJ","ach","ITJ",NA,NA,NA,NA,NA,NA,NA,NA
"129",129,"!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"132",132,"Mein","PRO.Poss.Attr.Nom.Sg.Masc","meine","PRO","Poss","Attr","Nom",NA,"Sg","Masc",NA,NA
"133",133,"Vater","N.Reg.Nom.Sg.Masc","Vater","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"135",135,"!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"136",136,"–","ADJA.Pos.Nom.Sg.Masc","–","ADJA","Pos",NA,"Nom",NA,"Sg","Masc",NA,NA
"137",137,"–","ADJA.Pos.Nom.Sg.Masc","–","ADJA","Pos",NA,"Nom",NA,"Sg","Masc",NA,NA
"138",138,"Fang","N.Reg.Nom.Sg.Masc","Fang","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"139",139,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"140",140,"so","ADV","so","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"141",141,"zu","PART.Zu","zu","PART","Zu",NA,NA,NA,NA,NA,NA,NA
"142",142,"lernen","VINF.Full","lernen","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"143",143,"an","PART.Verb","an","PART","Verb",NA,NA,NA,NA,NA,NA,NA
"145",145,"?","SYM.Pun.Sent","?","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"148",148,"Ein","ART.Indef.Nom.Sg.Neut","eine","ART","Indef",NA,"Nom",NA,"Sg","Neut",NA,NA
"149",149,"Kind","N.Reg.Nom.Sg.Neut","Kind","N","Reg",NA,"Nom",NA,"Sg","Neut",NA,NA
"151",151,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"152",152,"träumt","VFIN.Full.3.Sg.Pres.Ind","träumen","VFIN","Full",NA,NA,3,"Sg",NA,"Pres","Ind"
"154",154,"'","SYM.Quot.Right","'","SYM",NA,"Right",NA,NA,NA,NA,NA,NA
"155",155,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"156",156,"Feldläger","N.Reg.Acc.Pl.Masc","Feldläger","N","Reg",NA,"Acc",NA,"Pl","Masc",NA,NA
"158",158,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"159",159,"Schlachten","N.Reg.Acc.Pl.Fem","Schlacht","N","Reg",NA,"Acc",NA,"Pl","Fem",NA,NA
"161",161,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"162",162,"Sturm","N.Reg.Acc.Sg.Masc","Sturm","N","Reg",NA,"Acc",NA,"Sg","Masc",NA,NA
"164",164,"!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"167",167,"O","N.Name.Nom.Sg.*","O","N","Name",NA,"Nom",NA,"Sg",NA,NA,NA
"168",168,"träumt","VFIN.Full.3.Sg.Pres.Ind","träumen","VFIN","Full",NA,NA,3,"Sg",NA,"Pres","Ind"
"170",170,"'","SYM.Quot.Right","'","SYM",NA,"Right",NA,NA,NA,NA,NA,NA
"171",171,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"172",172,"itzt","ADJD.Pos","itzt","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"174",174,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"175",175,"ein","ART.Indef.Nom.Sg.Masc","eine","ART","Indef",NA,"Nom",NA,"Sg","Masc",NA,NA
"176",176,"Jüngling","N.Reg.Nom.Sg.Masc","Jüngling","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"178",178,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"179",179,"Wunde","N.Reg.Acc.Sg.Fem","Wunde","N","Reg",NA,"Acc",NA,"Sg","Fem",NA,NA
"181",181,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"182",182,"Tod","N.Reg.Acc.Sg.Masc","Tod","N","Reg",NA,"Acc",NA,"Sg","Masc",NA,NA
"184",184,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"185",185,"Und","CONJ.Coord","und","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"186",186,"das","PRO.Dem.Subst.Nom.Sg.Neut","die","PRO","Dem","Subst","Nom",NA,"Sg","Neut",NA,NA
"187",187,"viel","ADV","viel","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"188",188,"ärgre","VFIN.Full.3.Sg.Pres.Subj","ärgre","VFIN","Full",NA,NA,3,"Sg",NA,"Pres","Subj"
"190",190,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"191",191,"die","ART.Def.Acc.Sg.Fem","die","ART","Def",NA,"Acc",NA,"Sg","Fem",NA,NA
"192",192,"Gefangenschaft","N.Reg.Acc.Sg.Fem","Gefangenschaft","N","Reg",NA,"Acc",NA,"Sg","Fem",NA,NA
"194",194,"!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"197",197,"Allein","ADV","allein","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"198",198,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"199",199,"wache","VFIN.Full.1.Sg.Pres.Ind","wachen","VFIN","Full",NA,NA,1,"Sg",NA,"Pres","Ind"
"201",201,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"202",202,"denke","VFIN.Full.1.Sg.Pres.Ind","denken","VFIN","Full",NA,NA,1,"Sg",NA,"Pres","Ind"
"204",204,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"205",205,"sehe","VFIN.Full.1.Sg.Pres.Ind","sehen","VFIN","Full",NA,NA,1,"Sg",NA,"Pres","Ind"
"206",206,"mich","PRO.Refl.Subst.1.Acc.Sg.*","sie","PRO","Refl","Subst","Acc",1,"Sg",NA,NA,NA
"208",208,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"209",209,"Und","CONJ.Coord","und","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"210",210,"eine","ART.Indef.Nom.Sg.Fem","eine","ART","Indef",NA,"Nom",NA,"Sg","Fem",NA,NA
"211",211,"leichte","ADJA.Pos.Nom.Sg.Fem","leicht","ADJA","Pos",NA,"Nom",NA,"Sg","Fem",NA,NA
"212",212,"Wund","ADJD.Pos","wund","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"214",214,"'","SYM.Quot.Right","'","SYM",NA,"Right",NA,NA,NA,NA,NA,NA
"216",216,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"217",217,"ach","ITJ","ach","ITJ",NA,NA,NA,NA,NA,NA,NA,NA
"218",218,"eine","PRO.Indef.Subst.Nom.Sg.Fem","eine","PRO","Indef","Subst","Nom",NA,"Sg","Fem",NA,NA
"219",219,"nur","ADV","nur","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"221",221,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"222",222,"Durch","APPR","durch","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"223",223,"die","PRO.Dem.Subst.Acc.Sg.Fem","die","PRO","Dem","Subst","Acc",NA,"Sg","Fem",NA,NA
"224",224,"der","ART.Def.Gen.Sg.Fem","die","ART","Gen",NA,"Gen",NA,"Sg","Fem",NA,NA
"225",225,"blutgen","ADJA.Pos.Gen.Sg.Fem","blutg","ADJA","Gen",NA,"Gen",NA,"Sg","Fem",NA,NA
"226",226,"Hand","N.Reg.Gen.Sg.Fem","Hand","N","Gen",NA,"Gen",NA,"Sg","Fem",NA,NA
"227",227,"das","ART.Def.Nom.Sg.Neut","die","ART","Def",NA,"Nom",NA,"Sg","Neut",NA,NA
"228",228,"Schwerdt","N.Reg.Nom.Sg.Neut","Schwerdt","N","Reg",NA,"Nom",NA,"Sg","Neut",NA,NA
"229",229,"entsank","VFIN.Full.3.Sg.Past.Ind","entsinken","VFIN","Full",NA,NA,3,"Sg",NA,"Past","Ind"
"231",231,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"232",232,"Schmerzt","VFIN.Full.3.Sg.Pres.Ind","schmerzen","VFIN","Full",NA,NA,3,"Sg",NA,"Pres","Ind"
"234",234,";","SYM.Pun.Sent",";","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"235",235,"aber","ADV","aber","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"236",236,"ist","VFIN.Aux.3.Sg.Pres.Ind","sein","VFIN","Aux",NA,NA,3,"Sg",NA,"Pres","Ind"
"237",237,"nicht","PART.Neg","nicht","PART","Neg",NA,NA,NA,NA,NA,NA,NA
"238",238,"tödtlich","ADJD.Pos","tödtlich","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"240",240,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"241",241,"sagt","VFIN.Full.3.Sg.Pres.Ind","sagen","VFIN","Full",NA,NA,3,"Sg",NA,"Pres","Ind"
"242",242,"der","ART.Def.Nom.Sg.Masc","die","ART","Def",NA,"Nom",NA,"Sg","Masc",NA,NA
"243",243,"Arzt","N.Reg.Nom.Sg.Masc","Arzt","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"245",245,"!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"246",246,"–","CARD","[number]","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"247",247,"–","N.Reg.*.*.Neut","–","N","Reg",NA,NA,NA,NA,"Neut",NA,NA
"248",248,"–","ADJA.Pos.Nom.Sg.Masc","–","ADJA","Pos",NA,"Nom",NA,"Sg","Masc",NA,NA
"249",249,"Nichtswürdiger","N.Reg.Nom.Sg.Masc","Nichtswürdige","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"251",251,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"252",252,"sie","PRO.Pers.Subst.3.Nom.Sg.Fem","sie","PRO","Pers","Subst","Nom",3,"Sg","Fem",NA,NA
"253",253,"sollte","VFIN.Mod.3.Sg.Past.Ind","sollen","VFIN","Mod",NA,NA,3,"Sg",NA,"Past","Ind"
"254",254,"tödtlich","ADJD.Pos","tödtlich","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"255",255,"seyn","VINF.Full","seyn","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"257",257,"!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"260",260,"Grausam-barmherzig","ADJD.Pos","Grausam","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"261",261,"war","VFIN.Aux.3.Sg.Past.Ind","sein","VFIN","Aux",NA,NA,3,"Sg",NA,"Past","Ind"
"262",262,"der","ART.Def.Nom.Sg.Masc","die","ART","Def",NA,"Nom",NA,"Sg","Masc",NA,NA
"263",263,"Feind","N.Reg.Nom.Sg.Masc","Feind","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"265",265,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"266",266,"als","CONJ.Comp","als","CONJ","Comp",NA,NA,NA,NA,NA,NA,NA
"267",267,"er","PRO.Pers.Subst.3.Nom.Sg.Masc","sie","PRO","Pers","Subst","Nom",3,"Sg","Masc",NA,NA
"268",268,"Befahl","VFIN.Full.3.Sg.Past.Ind","befehlen","VFIN","Full",NA,NA,3,"Sg",NA,"Past","Ind"
"269",269,"mich","PRO.Pers.Subst.1.Acc.Sg.*","sie","PRO","Pers","Subst","Acc",1,"Sg",NA,NA,NA
"270",270,"zu","PART.Zu","zu","PART","Zu",NA,NA,NA,NA,NA,NA,NA
"271",271,"verbinden","VINF.Full","verbinden","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"273",273,";","SYM.Pun.Sent",";","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"274",274,"listig","ADJD.Pos","listig","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"275",275,"war","VFIN.Aux.3.Sg.Past.Ind","sein","VFIN","Aux",NA,NA,3,"Sg",NA,"Past","Ind"
"276",276,"[","SYM.Paren.Left","[","SYM","Paren","Left",NA,NA,NA,NA,NA,NA
"278",278,"106","CARD","[number]","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"280",280,"]","SYM.Paren.Right","]","SYM","Paren","Right",NA,NA,NA,NA,NA,NA
"281",281,"Er","PRO.Pers.Subst.3.Nom.Sg.Masc","sie","PRO","Pers","Subst","Nom",3,"Sg","Masc",NA,NA
"282",282,"mehr","PRO.Indef.Subst.*.*.*","mehr","PRO","Indef","Subst",NA,NA,NA,NA,NA,NA
"283",283,"als","CONJ.Comp","als","CONJ","Comp",NA,NA,NA,NA,NA,NA,NA
"284",284,"grausam","ADJD.Pos","grausam","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"286",286,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"289",289,"Leben","N.Reg.Nom.Sg.Neut","Leben","N","Reg",NA,"Nom",NA,"Sg","Neut",NA,NA
"290",290,"wollt","VFIN.Mod.2.Pl.Pres.Ind","wollen","VFIN","Mod",NA,NA,2,"Pl",NA,"Pres","Ind"
"291",291,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"292",292,"nicht","PART.Neg","nicht","PART","Neg",NA,NA,NA,NA,NA,NA,NA
"294",294,"!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"297",297,"Denn","CONJ.Coord","denn","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"299",299,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"300",300,"überwunden","VPP.Full.Psp","überwinden","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"302",302,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"303",303,"war","VFIN.Aux.3.Sg.Past.Ind","sein","VFIN","Aux",NA,NA,3,"Sg",NA,"Past","Ind"
"304",304,"für","APPR","für","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"305",305,"mich","PRO.Pers.Subst.1.Acc.Sg.*","sie","PRO","Pers","Subst","Acc",1,"Sg",NA,NA,NA
"306",306,"kein","PRO.Indef.Attr.Nom.Sg.Masc","keine","PRO","Indef","Attr","Nom",NA,"Sg","Masc",NA,NA
"307",307,"Trost","N.Reg.Nom.Sg.Masc","Trost","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"308",308,"Als","APPR","als","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"310",310,":","SYM.Pun.Colon",":","SYM","Pun",NA,NA,NA,NA,NA,NA,NA
"311",311,"Sterben","N.Reg.Nom.Sg.Neut","Sterben","N","Reg",NA,"Nom",NA,"Sg","Neut",NA,NA
"313",313,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"316",316,"Welch","PRO.Inter.Attr.*.*.*","welch","PRO","Inter","Attr",NA,NA,NA,NA,NA,NA
"317",317,"ein","ART.Indef.Nom.Sg.Masc","eine","ART","Indef",NA,"Nom",NA,"Sg","Masc",NA,NA
"318",318,"Anblick","N.Reg.Nom.Sg.Masc","Anblick","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"319",319,"war","VFIN.Aux.3.Sg.Past.Ind","sein","VFIN","Aux",NA,NA,3,"Sg",NA,"Past","Ind"
"320",320,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"321",321,"mir","PRO.Refl.Subst.1.Dat.Sg.*","sie","PRO","Refl","Subst","Dat",1,"Sg",NA,NA,NA
"323",323,"!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"326",326,"In","APPR","in","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"327",327,"Feindes","N.Reg.Gen.Sg.Masc","Feind","N","Gen",NA,"Gen",NA,"Sg","Masc",NA,NA
"328",328,"Händen","N.Reg.Dat.Pl.Fem","Hand","N","Reg",NA,"Dat",NA,"Pl","Fem",NA,NA
"330",330,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"331",331,"lebend","ADJD.Pos","lebend","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"332",332,"mich","PRO.Pers.Subst.1.Acc.Sg.*","sie","PRO","Pers","Subst","Acc",1,"Sg",NA,NA,NA
"333",333,"zu","PART.Zu","zu","PART","Zu",NA,NA,NA,NA,NA,NA,NA
"334",334,"sehn","VIMP.Full.2.Sg","sehnen","VIMP","Full",NA,NA,2,"Sg",NA,NA,NA
"336",336,"!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"339",339,"Und","CONJ.Coord","und","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"340",340,"–","FM","–","FM",NA,NA,NA,NA,NA,NA,NA,NA
"341",341,"–","FM","–","FM",NA,NA,NA,NA,NA,NA,NA,NA
"342",342,"o","FM","o","FM",NA,NA,NA,NA,NA,NA,NA,NA
"344",344,"!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"345",345,"in","APPR","in","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"346",346,"welch","PRO.Inter.Attr.Dat.Sg.Neut","welch","PRO","Inter","Attr","Dat",NA,"Sg","Neut",NA,NA
"347",347,"verflucht","ADJD.Pos","verflucht","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"348",348,"Gesicht","N.Reg.Dat.Sg.Neut","Gesicht","N","Reg",NA,"Dat",NA,"Sg","Neut",NA,NA
"349",349,"sah","VFIN.Full.1.Sg.Past.Ind","sehen","VFIN","Full",NA,NA,1,"Sg",NA,"Past","Ind"
"350",350,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"351",351,"Dem","ART.Def.Dat.Sg.Masc","die","ART","Def",NA,"Dat",NA,"Sg","Masc",NA,NA
"352",352,"alten","ADJA.Pos.Dat.Sg.Masc","alt","ADJA","Pos",NA,"Dat",NA,"Sg","Masc",NA,NA
"353",353,"Krieger","N.Reg.Dat.Sg.Masc","Krieger","N","Reg",NA,"Dat",NA,"Sg","Masc",NA,NA
