"","X","token","tag","lemma","pos","category","funct","case","pers","num","gender","tense","mode"
"2",2,"Philotas","N.Name.Nom.Sg.Masc","Philotas","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"3",3,"Johann","N.Name.Nom.Sg.Masc","Johann","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"4",4,"Wilhelm","N.Name.Nom.Sg.Masc","Wilhelm","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"5",5,"Ludwig","N.Name.Nom.Sg.Masc","Ludwig","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"6",6,"Gleim","N.Name.Nom.Sg.*","Gleim","N","Name",NA,"Nom",NA,"Sg",NA,NA,NA
"7",7,"Amsterdam","N.Name.Nom.Sg.Neut","Amsterdam","N","Name",NA,"Nom",NA,"Sg","Neut",NA,NA
"9",9,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"10",10,"1767","CARD","[number]","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"(","SYM.Paren.Left","(","SYM","Paren","Left",NA,NA,NA,NA,NA,NA
"13",13,"Erstdruck","N.Reg.Nom.Sg.Masc","Erstdruck","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"14",14,"1760","CARD","[number]","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"16",16,")","SYM.Paren.Right",")","SYM","Paren","Right",NA,NA,NA,NA,NA,NA
"17",17,"Exportiert","VFIN.Full.3.Sg.Pres.Ind","exportieren","VFIN","Full",NA,NA,3,"Sg",NA,"Pres","Ind"
"18",18,"aus","APPR","aus","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"Wikisource","N.Name.Dat.Sg.*","Wikisource","N","Name",NA,"Dat",NA,"Sg",NA,NA,NA
"20",20,"am","APPRART.Dat.Sg.Masc","an","APPRART",NA,NA,"Dat",NA,"Sg","Masc",NA,NA
"21",21,"16.","ADJA.Pos.Dat.Sg.Masc","[number]","ADJA","Pos",NA,"Dat",NA,"Sg","Masc",NA,NA
"22",22,"Juni","N.Reg.Dat.Sg.Masc","Juni","N","Reg",NA,"Dat",NA,"Sg","Masc",NA,NA
"23",23,"2023","CARD","[number]","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"24",24,"[","SYM.Paren.Left","[","SYM","Paren","Left",NA,NA,NA,NA,NA,NA
"26",26,"103","CARD","[number]","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"28",28,"]","SYM.Paren.Right","]","SYM","Paren","Right",NA,NA,NA,NA,NA,NA
"29",29,"Philotas","N.Name.Gen.Sg.Neut","Philotas","N","Gen",NA,"Gen",NA,"Sg","Neut",NA,NA
"31",31,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
