"","token","cat","lemma","pos","category","funct","case","pers","num","gender","tense","mode"
"1","Klagen","N.Reg.Nom.Pl.Fem","Klage-n","N","Reg","0","Nom","0","Pl","Fem","0","0"
"2","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"3",",","SYM.Pun.Comma",",-x","SYM","Pun","Comma","0","0","0","0","0","0"
"4","nichts","PRO.Indef.Subst.*.*.Neut","nichts-p","PRO","Indef","Subst","0","0","0","Neut","0","0"
"5","als","CONJ.Comp","als-c","CONJ","Comp","0","0","0","0","0","0","0"
"6","Klagen","N.Reg.Nom.Pl.Fem","Klage-n","N","Reg","0","Nom","0","Pl","Fem","0","0"
"7","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"8","!","SYM.Pun.Sent","!-x","SYM","Pun","Sent","0","0","0","0","0","0"
"9","</s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"10","<s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"11","Bittschriften","N.Reg.Nom.Pl.Fem","Bittschrift-n","N","Reg","0","Nom","0","Pl","Fem","0","0"
"12","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"13",",","SYM.Pun.Comma",",-x","SYM","Pun","Comma","0","0","0","0","0","0"
"14","nichts","PRO.Indef.Subst.*.*.Neut","nichts-p","PRO","Indef","Subst","0","0","0","Neut","0","0"
"15","als","CONJ.Comp","als-c","CONJ","Comp","0","0","0","0","0","0","0"
"16","Bittschriften","N.Reg.Nom.Pl.Fem","Bittschrift-n","N","Reg","0","Nom","0","Pl","Fem","0","0"
"17","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"18","!","SYM.Pun.Sent","!-x","SYM","Pun","Sent","0","0","0","0","0","0"
"19","–","CARD","[number]-m","CARD","0","0","0","0","0","0","0","0"
"20","Die","ART.Def.Nom.Pl.Neut","die-x","ART","Def","0","Nom","0","Pl","Neut","0","0"
"21","traurigen","ADJA.Pos.Nom.Pl.Neut","traurig-j","ADJA","Pos","0","Nom","0","Pl","Neut","0","0"
"22","Geschäfte","N.Reg.Nom.Pl.Neut","Geschäft-n","N","Reg","0","Nom","0","Pl","Neut","0","0"
"23","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"24",";","SYM.Pun.Sent",";-x","SYM","Pun","Sent","0","0","0","0","0","0"
"25","und","CONJ.Coord","und-c","CONJ","Coord","0","0","0","0","0","0","0"
"26","man","PRO.Indef.Subst.Nom.Sg.*","man-p","PRO","Indef","Subst","Nom","0","Sg","0","0","0"
"27","beneidet","VFIN.Full.3.Sg.Pres.Ind","beneiden-v","VFIN","Full","0","0","3","Sg","0","Pres","Ind"
"28","uns","PRO.Pers.Subst.1.Acc.Pl.*","sie-p","PRO","Pers","Subst","Acc","1","Pl","0","0","0"
"29","noch","ADV","noch-a","ADV","0","0","0","0","0","0","0","0"
"30","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"31","!","SYM.Pun.Sent","!-x","SYM","Pun","Sent","0","0","0","0","0","0"
"32","–","N.Reg.Nom.Sg.Masc","–-n","N","Reg","0","Nom","0","Sg","Masc","0","0"
"33","Das","ART.Def.Nom.Sg.Neut","die-x","ART","Def","0","Nom","0","Sg","Neut","0","0"
"34","glaub","VIMP.Full.2.Sg","glauben-v","VIMP","Full","0","0","2","Sg","0","0","0"
"35","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"36","'","SYM.Quot.Right","'-x","SYM","0","Right","0","0","0","0","0","0"
"37","ich","PRO.Pers.Subst.1.Nom.Sg.*","sie-p","PRO","Pers","Subst","Nom","1","Sg","0","0","0"
"38","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"39",";","SYM.Pun.Sent",";-x","SYM","Pun","Sent","0","0","0","0","0","0"
"40","wenn","CONJ.SubFin","wenn-c","CONJ","SubFin","0","0","0","0","0","0","0"
"41","wir","PRO.Pers.Subst.1.Nom.Pl.*","sie-p","PRO","Pers","Subst","Nom","1","Pl","0","0","0"
"42","allen","PRO.Indef.Subst.Dat.Pl.*","alle-p","PRO","Indef","Subst","Dat","0","Pl","0","0","0"
"43","helfen","VINF.Full","helfen-v","VINF","Full","0","0","0","0","0","0","0"
"44","könnten","VFIN.Mod.1.Pl.Past.Subj","können-v","VFIN","Mod","0","0","1","Pl","0","Past","Subj"
"45","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"46",":","SYM.Pun.Colon",":-x","SYM","Pun","0","0","0","0","0","0","0"
"47","dann","ADV","dann-a","ADV","0","0","0","0","0","0","0","0"
"48","wären","VFIN.Aux.1.Pl.Past.Subj","sein-v","VFIN","Aux","0","0","1","Pl","0","Past","Subj"
"49","wir","PRO.Pers.Subst.1.Nom.Pl.*","sie-p","PRO","Pers","Subst","Nom","1","Pl","0","0","0"
"50","zu","PART.Zu","zu-x","PART","Zu","0","0","0","0","0","0","0"
"51","beneiden","VINF.Full","beneiden-v","VINF","Full","0","0","0","0","0","0","0"
"52","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"53",".","SYM.Pun.Sent",".-x","SYM","Pun","Sent","0","0","0","0","0","0"
"54","–","N.Name.*.*.*","–-n","N","Name","0","0","0","0","0","0","0"
"55","Emilia","N.Name.*.*.*","Emilia-n","N","Name","0","0","0","0","0","0","0"
"56","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"57","?","SYM.Pun.Sent","?-x","SYM","Pun","Sent","0","0","0","0","0","0"
"58","</s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"59","<s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"60","Eine","ART.Indef.Nom.Sg.Fem","eine-x","ART","Indef","0","Nom","0","Sg","Fem","0","0"
"61","Emilia","N.Name.Nom.Sg.Fem","Emilia-n","N","Name","0","Nom","0","Sg","Fem","0","0"
"62","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"63","?","SYM.Pun.Sent","?-x","SYM","Pun","Sent","0","0","0","0","0","0"
"64","–","N.Reg.Nom.Sg.Fem","–-n","N","Reg","0","Nom","0","Sg","Fem","0","0"
"65","Aber","CONJ.Coord","aber-c","CONJ","Coord","0","0","0","0","0","0","0"
"66","eine","ART.Indef.Nom.Sg.Fem","eine-x","ART","Indef","0","Nom","0","Sg","Fem","0","0"
"67","Emilia","N.Name.*.*.*","Emilia-n","N","Name","0","0","0","0","0","0","0"
"68","Bruneschi","N.Name.*.*.*","Bruneschi-n","N","Name","0","0","0","0","0","0","0"
"69","–","N.Name.Nom.Sg.*","–-n","N","Name","0","Nom","0","Sg","0","0","0"
"70","nicht","PART.Neg","nicht-x","PART","Neg","0","0","0","0","0","0","0"
"71","Galotti","N.Name.Nom.Sg.*","Galotti-n","N","Name","0","Nom","0","Sg","0","0","0"
"72","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"73",".","SYM.Pun.Sent",".-x","SYM","Pun","Sent","0","0","0","0","0","0"
"74","</s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"75","<s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"76","Nicht","PART.Neg","nicht-x","PART","Neg","0","0","0","0","0","0","0"
"77","Emilia","N.Name.Nom.Sg.Fem","Emilia-n","N","Name","0","Nom","0","Sg","Fem","0","0"
"78","Galotti","N.Name.Nom.Sg.Fem","Galotti-n","N","Name","0","Nom","0","Sg","Fem","0","0"
"79","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"80","!","SYM.Pun.Sent","!-x","SYM","Pun","Sent","0","0","0","0","0","0"
"81","–","CARD","[number]-m","CARD","0","0","0","0","0","0","0","0"
"82","Was","PRO.Inter.Subst.Acc.Sg.Neut","was-p","PRO","Inter","Subst","Acc","0","Sg","Neut","0","0"
"83","will","VFIN.Mod.3.Sg.Pres.Ind","wollen-v","VFIN","Mod","0","0","3","Sg","0","Pres","Ind"
"84","sie","PRO.Pers.Subst.3.Nom.Sg.Fem","sie-p","PRO","Pers","Subst","Nom","3","Sg","Fem","0","0"
"85","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"86",",","SYM.Pun.Comma",",-x","SYM","Pun","Comma","0","0","0","0","0","0"
"87","diese","PRO.Dem.Attr.Acc.Sg.Fem","diese-p","PRO","Dem","Attr","Acc","0","Sg","Fem","0","0"
"88","Emilia","N.Name.Nom.Sg.Fem","Emilia-n","N","Name","0","Nom","0","Sg","Fem","0","0"
"89","Bruneschi","N.Name.Nom.Sg.Fem","Bruneschi-n","N","Name","0","Nom","0","Sg","Fem","0","0"
"90","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"91","?","SYM.Pun.Sent","?-x","SYM","Pun","Sent","0","0","0","0","0","0"
"92","</s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"93","<s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"94","Viel","ADV","viel-a","ADV","0","0","0","0","0","0","0","0"
"95","gefodert","ADJD.Pos","gefodert-j","ADJD","Pos","0","0","0","0","0","0","0"
"96","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"97",";","SYM.Pun.Sent",";-x","SYM","Pun","Sent","0","0","0","0","0","0"
"98","sehr","ADV","sehr-a","ADV","0","0","0","0","0","0","0","0"
"99","viel","PRO.Indef.Subst.*.*.*","viel-p","PRO","Indef","Subst","0","0","0","0","0","0"
"100","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"101",".","SYM.Pun.Sent",".-x","SYM","Pun","Sent","0","0","0","0","0","0"
"102","–","N.Reg.Nom.Sg.Masc","–-n","N","Reg","0","Nom","0","Sg","Masc","0","0"
"103","Doch","ADV","doch-a","ADV","0","0","0","0","0","0","0","0"
"104","sie","PRO.Pers.Subst.3.Acc.Pl.*","sie-p","PRO","Pers","Subst","Acc","3","Pl","0","0","0"
"105","heißt","VFIN.Full.3.Sg.Pres.Ind","heißen-v","VFIN","Full","0","0","3","Sg","0","Pres","Ind"
"106","Emilia","N.Name.*.*.*","Emilia-n","N","Name","0","0","0","0","0","0","0"
"107","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"108",".","SYM.Pun.Sent",".-x","SYM","Pun","Sent","0","0","0","0","0","0"
"109","</s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"110","<s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"111","Gewährt","ADJD.Pos","gewährt-j","ADJD","Pos","0","0","0","0","0","0","0"
"112","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"113","!","SYM.Pun.Sent","!-x","SYM","Pun","Sent","0","0","0","0","0","0"
"114","</s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"115","<s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"116","Es","PRO.Pers.Subst.3.Nom.Sg.Neut","sie-p","PRO","Pers","Subst","Nom","3","Sg","Neut","0","0"
"117","ist","VFIN.Aux.3.Sg.Pres.Ind","sein-v","VFIN","Aux","0","0","3","Sg","0","Pres","Ind"
"118","wohl","ADV","wohl-a","ADV","0","0","0","0","0","0","0","0"
"119","noch","ADV","noch-a","ADV","0","0","0","0","0","0","0","0"
"120","keiner","PRO.Indef.Subst.Nom.Sg.Masc","keine-p","PRO","Indef","Subst","Nom","0","Sg","Masc","0","0"
"121","von","APPR","von-i","APPR","0","0","0","0","0","0","0","0"
"122","den","ART.Def.Dat.Pl.Masc","die-x","ART","Def","0","Dat","0","Pl","Masc","0","0"
"123","Räten","N.Reg.Dat.Pl.Masc","Rat-n","N","Reg","0","Dat","0","Pl","Masc","0","0"
"124","in","APPR","in-i","APPR","0","0","0","0","0","0","0","0"
"125","dem","ART.Def.Dat.Sg.Neut","die-x","ART","Def","0","Dat","0","Sg","Neut","0","0"
"126","Vorzimmer","N.Reg.Dat.Sg.Neut","Vorzimmer-n","N","Reg","0","Dat","0","Sg","Neut","0","0"
"127","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"128","?","SYM.Pun.Sent","?-x","SYM","Pun","Sent","0","0","0","0","0","0"
"129","</s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"130","<s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"131","Nein","PART.Ans","nein-x","PART","Ans","0","0","0","0","0","0","0"
"132","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"133",".","SYM.Pun.Sent",".-x","SYM","Pun","Sent","0","0","0","0","0","0"
"134","</s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"135","<s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"136","Ich","PRO.Pers.Subst.1.Nom.Sg.*","sie-p","PRO","Pers","Subst","Nom","1","Sg","0","0","0"
"137","habe","VFIN.Aux.1.Sg.Pres.Ind","haben-v","VFIN","Aux","0","0","1","Sg","0","Pres","Ind"
"138","zu","PART.Deg","zu-x","PART","Deg","0","0","0","0","0","0","0"
"139","früh","ADJD.Pos","früh-j","ADJD","Pos","0","0","0","0","0","0","0"
"140","Tag","N.Reg.Acc.Sg.Masc","Tag-n","N","Reg","0","Acc","0","Sg","Masc","0","0"
"141","gemacht","VPP.Full.Psp","machen-v","VPP","Full","Psp","0","0","0","0","0","0"
"142","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"143",".","SYM.Pun.Sent",".-x","SYM","Pun","Sent","0","0","0","0","0","0"
"144","–","N.Reg.Nom.Sg.Masc","–-n","N","Reg","0","Nom","0","Sg","Masc","0","0"
"145","Der","ART.Def.Nom.Sg.Masc","die-x","ART","Def","0","Nom","0","Sg","Masc","0","0"
"146","Morgen","N.Reg.Nom.Sg.Masc","Morgen-n","N","Reg","0","Nom","0","Sg","Masc","0","0"
"147","ist","VFIN.Aux.3.Sg.Pres.Ind","sein-v","VFIN","Aux","0","0","3","Sg","0","Pres","Ind"
"148","so","ADV","so-a","ADV","0","0","0","0","0","0","0","0"
"149","schön","ADJD.Pos","schön-j","ADJD","Pos","0","0","0","0","0","0","0"
"150","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"151",".","SYM.Pun.Sent",".-x","SYM","Pun","Sent","0","0","0","0","0","0"
"152","</s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"153","<s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"154","Ich","PRO.Pers.Subst.1.Nom.Sg.*","sie-p","PRO","Pers","Subst","Nom","1","Sg","0","0","0"
"155","will","VFIN.Mod.1.Sg.Pres.Ind","wollen-v","VFIN","Mod","0","0","1","Sg","0","Pres","Ind"
"156","ausfahren","VINF.Full","ausfahren-v","VINF","Full","0","0","0","0","0","0","0"
"157","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"158",".","SYM.Pun.Sent",".-x","SYM","Pun","Sent","0","0","0","0","0","0"
"159","</s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"160","<s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"161","Marchese","N.Name.Nom.*.*","Marchese-n","N","Name","0","Nom","0","0","0","0","0"
"162","Marinelli","N.Name.Nom.*.*","Marinelli-n","N","Name","0","Nom","0","0","0","0","0"
"163","soll","VFIN.Mod.3.Sg.Pres.Ind","sollen-v","VFIN","Mod","0","0","3","Sg","0","Pres","Ind"
"164","mich","PRO.Pers.Subst.1.Acc.Sg.*","sie-p","PRO","Pers","Subst","Acc","1","Sg","0","0","0"
"165","begleiten","VINF.Full","begleiten-v","VINF","Full","0","0","0","0","0","0","0"
"166","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"167",".","SYM.Pun.Sent",".-x","SYM","Pun","Sent","0","0","0","0","0","0"
"168","</s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"169","<s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"170","Laßt","VIMP.Full.2.Pl","lassen-v","VIMP","Full","0","0","2","Pl","0","0","0"
"171","ihn","PRO.Pers.Subst.3.Acc.Sg.Masc","sie-p","PRO","Pers","Subst","Acc","3","Sg","Masc","0","0"
"172","rufen","VFIN.Full.3.Pl.Pres.Ind","rufen-v","VFIN","Full","0","0","3","Pl","0","Pres","Ind"
"173","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"174",".","SYM.Pun.Sent",".-x","SYM","Pun","Sent","0","0","0","0","0","0"
"175","–","CARD","[number]-m","CARD","0","0","0","0","0","0","0","0"
"176","Ich","PRO.Pers.Subst.1.Nom.Sg.*","sie-p","PRO","Pers","Subst","Nom","1","Sg","0","0","0"
"177","kann","VFIN.Mod.1.Sg.Pres.Ind","können-v","VFIN","Mod","0","0","1","Sg","0","Pres","Ind"
"178","doch","ADV","doch-a","ADV","0","0","0","0","0","0","0","0"
"179","nicht","PART.Neg","nicht-x","PART","Neg","0","0","0","0","0","0","0"
"180","mehr","ADV","mehr-a","ADV","0","0","0","0","0","0","0","0"
"181","arbeiten","VINF.Full","arbeiten-v","VINF","Full","0","0","0","0","0","0","0"
"182","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"183",".","SYM.Pun.Sent",".-x","SYM","Pun","Sent","0","0","0","0","0","0"
"184","–","CARD","[number]-m","CARD","0","0","0","0","0","0","0","0"
"185","Ich","PRO.Pers.Subst.1.Nom.Sg.*","sie-p","PRO","Pers","Subst","Nom","1","Sg","0","0","0"
"186","war","VFIN.Aux.1.Sg.Past.Ind","sein-v","VFIN","Aux","0","0","1","Sg","0","Past","Ind"
"187","so","ADV","so-a","ADV","0","0","0","0","0","0","0","0"
"188","ruhig","ADJD.Pos","ruhig-j","ADJD","Pos","0","0","0","0","0","0","0"
"189","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"190",",","SYM.Pun.Comma",",-x","SYM","Pun","Comma","0","0","0","0","0","0"
"191","bild","ADJD.Pos","bild-j","ADJD","Pos","0","0","0","0","0","0","0"
"192","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"193","'","SYM.Quot.Right","'-x","SYM","0","Right","0","0","0","0","0","0"
"194","ich","PRO.Pers.Subst.1.Nom.Sg.*","sie-p","PRO","Pers","Subst","Nom","1","Sg","0","0","0"
"195","mir","PRO.Pers.Subst.1.Dat.Sg.*","sie-p","PRO","Pers","Subst","Dat","1","Sg","0","0","0"
"196","ein","PART.Verb","ein-x","PART","Verb","0","0","0","0","0","0","0"
"197","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"198",",","SYM.Pun.Comma",",-x","SYM","Pun","Comma","0","0","0","0","0","0"
"199","so","ADV","so-a","ADV","0","0","0","0","0","0","0","0"
"200","ruhig","ADJD.Pos","ruhig-j","ADJD","Pos","0","0","0","0","0","0","0"
"201","–","CARD","[number]-m","CARD","0","0","0","0","0","0","0","0"
"202","Auf","APPR","auf-i","APPR","0","0","0","0","0","0","0","0"
"203","einmal","ADV","einmal-a","ADV","0","0","0","0","0","0","0","0"
"204","muß","VFIN.Mod.3.Sg.Pres.Ind","müssen-v","VFIN","Mod","0","0","3","Sg","0","Pres","Ind"
"205","eine","ART.Indef.Nom.Sg.Fem","eine-x","ART","Indef","0","Nom","0","Sg","Fem","0","0"
"206","arme","ADJA.Pos.Nom.Sg.Fem","arm-j","ADJA","Pos","0","Nom","0","Sg","Fem","0","0"
"207","Bruneschi","N.Reg.Nom.Sg.Fem","Bruneschi-n","N","Reg","0","Nom","0","Sg","Fem","0","0"
"208","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"209",",","SYM.Pun.Comma",",-x","SYM","Pun","Comma","0","0","0","0","0","0"
"210","Emilia","N.Name.Nom.Sg.Fem","Emilia-n","N","Name","0","Nom","0","Sg","Fem","0","0"
"211","heißen","VINF.Full","heißen-v","VINF","Full","0","0","0","0","0","0","0"
"212","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"213",";","SYM.Pun.Sent",";-x","SYM","Pun","Sent","0","0","0","0","0","0"
"214","–","N.Name.Nom.Sg.*","–-n","N","Name","0","Nom","0","Sg","0","0","0"
"215","weg","ADV","weg-a","ADV","0","0","0","0","0","0","0","0"
"216","ist","VFIN.Aux.3.Sg.Pres.Ind","sein-v","VFIN","Aux","0","0","3","Sg","0","Pres","Ind"
"217","meine","PRO.Poss.Attr.Nom.Sg.Fem","meine-p","PRO","Poss","Attr","Nom","0","Sg","Fem","0","0"
"218","Ruhe","N.Reg.Nom.Sg.Fem","Ruhe-n","N","Reg","0","Nom","0","Sg","Fem","0","0"
"219","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"220",",","SYM.Pun.Comma",",-x","SYM","Pun","Comma","0","0","0","0","0","0"
"221","und","CONJ.Coord","und-c","CONJ","Coord","0","0","0","0","0","0","0"
"222","alles","PRO.Indef.Subst.Acc.Sg.Neut","alle-p","PRO","Indef","Subst","Acc","0","Sg","Neut","0","0"
"223","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"224","!","SYM.Pun.Sent","!-x","SYM","Pun","Sent","0","0","0","0","0","0"
"225","–","N.Name.Nom.Sg.*","–-n","N","Name","0","Nom","0","Sg","0","0","0"
