"","token","cat","lemma","pos","category","funct","case","pers","num","gender","tense","mode"
"226","Nach","APPR","nach-i","APPR","0","0","0","0","0","0","0","0"
"227","dem","ART.Def.Dat.Sg.Neut","die-x","ART","Def","0","Dat","0","Sg","Neut","0","0"
"228","Marchese","N.Reg.Dat.Sg.Neut","Marchese-n","N","Reg","0","Dat","0","Sg","Neut","0","0"
"229","ist","VFIN.Aux.3.Sg.Pres.Ind","sein-v","VFIN","Aux","0","0","3","Sg","0","Pres","Ind"
"230","geschickt","VPP.Full.Psp","schicken-v","VPP","Full","Psp","0","0","0","0","0","0"
"231","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"232",".","SYM.Pun.Sent",".-x","SYM","Pun","Sent","0","0","0","0","0","0"
"233","</s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"234","<s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"235","Und","CONJ.Coord","und-c","CONJ","Coord","0","0","0","0","0","0","0"
"236","hier","ADV","hier-a","ADV","0","0","0","0","0","0","0","0"
"237","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"238",",","SYM.Pun.Comma",",-x","SYM","Pun","Comma","0","0","0","0","0","0"
"239","ein","ART.Indef.Nom.Sg.Masc","eine-x","ART","Indef","0","Nom","0","Sg","Masc","0","0"
"240","Brief","N.Reg.Nom.Sg.Masc","Brief-n","N","Reg","0","Nom","0","Sg","Masc","0","0"
"241","von","APPR","von-i","APPR","0","0","0","0","0","0","0","0"
"242","der","ART.Def.Dat.Sg.Fem","die-x","ART","Def","0","Dat","0","Sg","Fem","0","0"
"243","Gräfin","N.Reg.Dat.Sg.Fem","Gräfin-n","N","Reg","0","Dat","0","Sg","Fem","0","0"
"244","Orsina","N.Name.Nom.Sg.Neut","Orsina-n","N","Name","0","Nom","0","Sg","Neut","0","0"
"245","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"246",".","SYM.Pun.Sent",".-x","SYM","Pun","Sent","0","0","0","0","0","0"
"247","</s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"248","<s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"249","Der","ART.Def.Nom.Sg.Masc","die-x","ART","Def","0","Nom","0","Sg","Masc","0","0"
"250","Orsina","N.Name.Nom.Sg.Masc","Orsina-n","N","Name","0","Nom","0","Sg","Masc","0","0"
"251","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"252","?","SYM.Pun.Sent","?-x","SYM","Pun","Sent","0","0","0","0","0","0"
"253","</s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"254","<s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"255","Legt","VFIN.Full.3.Sg.Pres.Ind","legen-v","VFIN","Full","0","0","3","Sg","0","Pres","Ind"
"256","ihn","PRO.Pers.Subst.3.Acc.Sg.Masc","sie-p","PRO","Pers","Subst","Acc","3","Sg","Masc","0","0"
"257","hin","PART.Verb","hin-x","PART","Verb","0","0","0","0","0","0","0"
"258","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"259",".","SYM.Pun.Sent",".-x","SYM","Pun","Sent","0","0","0","0","0","0"
"260","</s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"261","<s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"262","Ihr","PRO.Poss.Attr.Nom.Sg.Masc","ihre-p","PRO","Poss","Attr","Nom","0","Sg","Masc","0","0"
"263","Läufer","N.Reg.Nom.Sg.Masc","Läufer-n","N","Reg","0","Nom","0","Sg","Masc","0","0"
"264","wartet","VFIN.Full.3.Sg.Pres.Ind","warten-v","VFIN","Full","0","0","3","Sg","0","Pres","Ind"
"265","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"266",".","SYM.Pun.Sent",".-x","SYM","Pun","Sent","0","0","0","0","0","0"
"267","</s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"268","<s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"269","Ich","PRO.Pers.Subst.1.Nom.Sg.*","sie-p","PRO","Pers","Subst","Nom","1","Sg","0","0","0"
"270","will","VFIN.Mod.1.Sg.Pres.Ind","wollen-v","VFIN","Mod","0","0","1","Sg","0","Pres","Ind"
"271","die","ART.Def.Acc.Sg.Fem","die-x","ART","Def","0","Acc","0","Sg","Fem","0","0"
"272","Antwort","N.Reg.Acc.Sg.Fem","Antwort-n","N","Reg","0","Acc","0","Sg","Fem","0","0"
"273","senden","VINF.Full","senden-v","VINF","Full","0","0","0","0","0","0","0"
"274","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"275",";","SYM.Pun.Sent",";-x","SYM","Pun","Sent","0","0","0","0","0","0"
"276","wenn","CONJ.SubFin","wenn-c","CONJ","SubFin","0","0","0","0","0","0","0"
"277","es","PRO.Pers.Subst.3.Nom.Sg.Neut","sie-p","PRO","Pers","Subst","Nom","3","Sg","Neut","0","0"
"278","einer","PRO.Indef.Subst.Nom.Sg.Masc","eine-p","PRO","Indef","Subst","Nom","0","Sg","Masc","0","0"
"279","bedarf","VFIN.Full.3.Sg.Pres.Ind","bedürfen-v","VFIN","Full","0","0","3","Sg","0","Pres","Ind"
"280","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"281",".","SYM.Pun.Sent",".-x","SYM","Pun","Sent","0","0","0","0","0","0"
"282","–","CARD","[number]-m","CARD","0","0","0","0","0","0","0","0"
"283","Wo","PROADV.Inter","wo-x","PROADV","Inter","0","0","0","0","0","0","0"
"284","ist","VFIN.Aux.3.Sg.Pres.Ind","sein-v","VFIN","Aux","0","0","3","Sg","0","Pres","Ind"
"285","sie","PRO.Pers.Subst.3.Nom.Sg.Fem","sie-p","PRO","Pers","Subst","Nom","3","Sg","Fem","0","0"
"286","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"287","?","SYM.Pun.Sent","?-x","SYM","Pun","Sent","0","0","0","0","0","0"
"288","</s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"289","<s>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"290","In","APPR","in-i","APPR","0","0","0","0","0","0","0","0"
"291","der","ART.Def.Dat.Sg.Fem","die-x","ART","Def","0","Dat","0","Sg","Fem","0","0"
"292","Stadt","N.Reg.Dat.Sg.Fem","Stadt-n","N","Reg","0","Dat","0","Sg","Fem","0","0"
"293","<g/>",NA,NA,NA,"0","0","0","0","0","0","0","0"
"294","?","SYM.Pun.Sent","?-x","SYM","Pun","Sent","0","0","0","0","0","0"
"295","oder","CONJ.Coord","oder-c","CONJ","Coord","0","0","0","0","0","0","0"
"296","auf","APPR","auf-i","APPR","0","0","0","0","0","0","0","0"
