"53,""Sag"",""es"",""es"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"54,""Philotas."",""N.Name.Nom.Sg.*"",""N"",""Name"",NA,""Nom"",NA,""Sg"",NA,NA,NA";;;;
"55,""Das"",""will"",""will"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"56,""Ihm"",""nur"",""nur"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"57,""Strato."",""N.Name.Nom.Sg.*"",""N"",""Name"",NA,""Nom"",NA,""Sg"",NA,NA,NA";;;;
"58,""Wie?"",""solch"",""solch"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"59,""Voll"",""Milch"",""Milch"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"60,""Das"",""noch"",""noch"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"61,""Und"",""so"",""so"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"62,""Philotas."",""N.Name.Nom.Sg.*"",""N"",""Name"",NA,""Nom"",NA,""Sg"",NA,NA,NA";;;;
"63,""Lästerer,"",""N.Name.Nom.Sg.Neut"",""N"",""Name"",NA,""Nom"",NA,""Sg"",""Neut"",NA,NA";;;;
"64,""Du"",""spottest!"",""spottest!"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"65,""Das,"",""von"",""von"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"66,""Entlassen"",""Polster"",""Polster"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"67,""Ein"",""Weichling,"",""Weichling,"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"68,""Dein"",""Angesicht"",""Angesicht"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"69,""Strato."",""N.Name.Nom.Sg.*"",""N"",""Name"",NA,""Nom"",NA,""Sg"",NA,NA,NA";;;;
"70,""Heroische"",""Gedanken"",""Gedanken"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"71,""In"",""wenig"",""wenig"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"72,""[108]"",""Aus"",""Aus"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"73,""Sie"",""reden"",""reden"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"74,""Man"",""muß"",""muß"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"75,""Philotas."",""N.Name.Nom.Sg.*"",""N"",""Name"",NA,""Nom"",NA,""Sg"",NA,NA,NA";;;;
"76,""Nur"",""fürchten"",""fürchten"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"77,""Strato."",""N.Name.Nom.Sg.*"",""N"",""Name"",NA,""Nom"",NA,""Sg"",NA,NA,NA";;;;
"78,""Sind"",""unter"",""unter"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"79,""Wie"",""du,"",""du,"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"80,""Die"",""Götter"",""Götter"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"81,""Wenn"",""die"",""die"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"82,""Philotas."",""N.Name.Nom.Sg.*"",""N"",""Name"",NA,""Nom"",NA,""Sg"",NA,NA,NA";;;;
"83,""Du"",""schmeichelst"",""schmeichelst"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"84,""Nicht"",""schmeicheln."",""schmeicheln"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"85,""Die"",""Götter"",""Götter"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"86,""Vorlängst"",""für"",""für"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"87,""Die"",""Krieger"",""Krieger"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"88,""Gesinnet,"",""wie"",""wie"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"89,""Bald"",""schrecklich"",""schrecklich"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"90,""Wenn"",""ich"",""ich"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"91,""Strato."",""N.Name.Nom.Sg.*"",""N"",""Name"",NA,""Nom"",NA,""Sg"",NA,NA,NA";;;;
"92,""Ich"",""heisse"",""heisse"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"93,""[109]"",""Philotas."",""Philotas"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"94,""Strato?"",""Wie?"",""Wie?"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"95,""Der"",""meinen"",""meinen"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"96,""Der"",""Held"",""Held"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"97,""Strato."",""N.Name.Nom.Sg.*"",""N"",""Name"",NA,""Nom"",NA,""Sg"",NA,NA,NA";;;;
"98,""Der"",""bin"",""bin"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"99,""Der"",""in"",""in"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"100,""Von"",""deinem"",""deinem"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"101,""Aufs"",""Haupt"",""Haupt"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"102,""Philotas."",""N.Name.Nom.Sg.*"",""N"",""Name"",NA,""Nom"",NA,""Sg"",NA,NA,NA";;;;
"103,""Dich"",""zu"",""zu"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"104,""Von"",""meines"",""meines"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"105,""Der"",""edelste"",""edelste"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"106,""(Es"",""ist"",""ist"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"107,""Denn"",""sieben"",""sieben"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"108,""Des"",""Jünglings)"",""Jünglings)"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"109,""Ein"",""Strato"",""Strato"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"110,""Als"",""er"",""er"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"111,""Erbabenen"",""Begriff."",""Begriff"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"112,""Lob"",""redete,"",""redete,"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"113,""Für"",""allzuhoch"",""allzuhoch"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"114,""Von"",""ihm"",""ihm"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"115,""[110]"",""Fuhr"",""Fuhr"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"116,""Von"",""Jugend"",""Jugend"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"117,""Und"",""welcher?"",""welcher?"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"118,""(Mit"",""etwas"",""etwas"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"119,""Als"",""der,"",""der,"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"120,""Soldat"",""zu"",""zu"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"121,""Soldat"",""seyn"",""seyn"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"122,""Mit"",""Waffen"",""Waffen"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"123,""Und"",""also"",""also"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"124,""Dir"",""meine"",""meine"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"125,""Dir"",""meines"",""meines"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"126,""O"",""welch"",""welch"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"127,""Bewegt"",""ich"",""ich"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"128,""Mit"",""seinen"",""seinen"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"129,""Aristodem,"",""der"",""der"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"130,""Der"",""Strato"",""Strato"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"131,""Bewegete,"",""den"",""den"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"132,""Zu"",""wagen."",""wagen"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"133,""Zum"",""König";,König;",NA,NA,NA,NA,NA,NA,NA,NA
134"",""Muß"",""ich"",""ich"",NA,NA,NA,NA,NA,NA,NA,NA";;
"135,""Verlohren,"",""König!"",""König!"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"136,""Und"",""alles"",""alles"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"137,""[111]"",""Nicht"",""Nicht"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"138,""Den"",""tapfern"",""tapfern"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"139,""Gern";",sagte"",""sagte"",NA,NA,NA,NA,NA,NA,NA,NA";;;
"140,""Könnt"",""ich"",""ich"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"141,""An"",""seinen"",""seinen"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"142,""Setzt’"",""er"",""er"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
"143,""Er"",""lerne"",""lerne"",NA,NA,NA,NA,NA,NA,NA,NA";;;;
