"","token","cat","lemma","pos","category","funct","case","pers","num","gender","tense","mode"
"1","<s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Klagen","N.Reg.Nom.Pl.Fem","Klage","N","Reg",NA,"Nom",NA,"Pl","Fem",NA,NA
"3","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"5","nichts","PRO.Indef.Subst.*.*.Neut","nichts","PRO","Indef","Subst",NA,NA,NA,"Neut",NA,NA
"6","als","CONJ.Comp","als","CONJ","Comp",NA,NA,NA,NA,NA,NA,NA
"7","Klagen","N.Reg.Nom.Pl.Fem","Klage","N","Reg",NA,"Nom",NA,"Pl","Fem",NA,NA
"8","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"10","</s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","<s>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Bittschriften","N.Reg.Nom.Pl.Fem","Bittschrift","N","Reg",NA,"Nom",NA,"Pl","Fem",NA,NA
"13","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"15","nichts","PRO.Indef.Subst.*.*.Neut","nichts","PRO","Indef","Subst",NA,NA,NA,"Neut",NA,NA
"16","als","CONJ.Comp","als","CONJ","Comp",NA,NA,NA,NA,NA,NA,NA
"17","Bittschriften","N.Reg.Nom.Pl.Fem","Bittschrift","N","Reg",NA,"Nom",NA,"Pl","Fem",NA,NA
"18","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"20","–","CARD","[number]","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"21","Die","ART.Def.Nom.Pl.Neut","die","ART","Def",NA,"Nom",NA,"Pl","Neut",NA,NA
"22","traurigen","ADJA.Pos.Nom.Pl.Neut","traurig","ADJA","Pos",NA,"Nom",NA,"Pl","Neut",NA,NA
"23","Geschäfte","N.Reg.Nom.Pl.Neut","Geschäft","N","Reg",NA,"Nom",NA,"Pl","Neut",NA,NA
"24","<g/>",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
