"","token","tag","pos","category","funct","case","pers","num","gender","tense","mode"
"1","Philotas","N.Name.Nom.Sg.*","N","Name",NA,"Nom",NA,"Sg",NA,NA,NA
"2","Johann","N.Name.Nom.Sg.Masc","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"3","Wilhelm","N.Name.Nom.Sg.Masc","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"4","Ludwig","N.Name.Nom.Sg.Masc","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"5","Gleim","N.Name.Nom.Sg.*","N","Name",NA,"Nom",NA,"Sg",NA,NA,NA
"6","Amsterdam","N.Name.Nom.Sg.Neut","N","Name",NA,"Nom",NA,"Sg","Neut",NA,NA
"7",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"8","1767","CARD","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"9","(","SYM.Paren.Left","SYM","Paren","Left",NA,NA,NA,NA,NA,NA
"10","Erstdruck","N.Reg.Nom.Sg.Masc","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"11","1760","CARD","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"12",")","SYM.Paren.Right","SYM","Paren","Right",NA,NA,NA,NA,NA,NA
"13","Exportiert","VFIN.Full.3.Sg.Pres.Ind","VFIN","Full",NA,NA,"3","Sg",NA,"Pres","Ind"
"14","aus","APPR.Dat","APPR",NA,NA,"Dat",NA,NA,NA,NA,NA
"15","Wikisource","N.Name.Dat.Sg.*","N","Name",NA,"Dat",NA,"Sg",NA,NA,NA
"16","am","APPRART.Dat.Sg.Masc","APPRART",NA,NA,"Dat",NA,"Sg","Masc",NA,NA
"17","16","CARD","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"18",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"19","Juni","N.Reg.Nom.Sg.Masc","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"20","2023","CARD","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"21","[","SYM.Paren.Left","SYM","Paren","Left",NA,NA,NA,NA,NA,NA
"22","103","CARD","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"23","]","SYM.Paren.Right","SYM","Paren","Right",NA,NA,NA,NA,NA,NA
"24","Philotas","N.Name.Gen.Sg.Neut","N","Gen",NA,"Gen",NA,"Sg","Neut",NA,NA
"25",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"26","[","SYM.Paren.Left","SYM","Paren","Left",NA,NA,NA,NA,NA,NA
"27","104","CARD","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"28","]","SYM.Paren.Right","SYM","Paren","Right",NA,NA,NA,NA,NA,NA
"29","Personen","N.Reg.Acc.Pl.Fem","N","Reg",NA,"Acc",NA,"Pl","Fem",NA,NA
"30",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"31","Aridäus","N.Name.Nom.Sg.Masc","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"32",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"33","König","N.Name.Nom.Sg.Masc","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"34",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"35","Strato","N.Name.Nom.Sg.Masc","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"36",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"37","Feldherr","N.Reg.Nom.Sg.Masc","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"38","des","ART.Def.Gen.Sg.Masc","ART","Gen",NA,"Gen",NA,"Sg","Masc",NA,NA
"39","Aridäus","N.Reg.Gen.Sg.Masc","N","Gen",NA,"Gen",NA,"Sg","Masc",NA,NA
"40",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"41","Philotas","N.Name.Nom.Sg.*","N","Name",NA,"Nom",NA,"Sg",NA,NA,NA
"42",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"43","gefangen","VPP.Full.Psp","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"44",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"45","Parmenio","N.Name.Nom.Sg.Masc","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"46",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"47","Soldat","N.Reg.Nom.Sg.Masc","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"48",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"49","Die","ART.Def.Nom.Sg.Fem","ART","Def",NA,"Nom",NA,"Sg","Fem",NA,NA
