Polytimet	N.Name.Nom.Sg.*

Anonym	ADJD.Pos
(	SYM.Paren.Left
=	SYM.Other.XY
Johann	N.Name.Nom.Sg.Masc
Jacob	N.Name.Nom.Sg.Masc
Bodmer	N.Name.Nom.Sg.Masc
)	SYM.Paren.Right
Conrad	N.Name.Nom.Sg.Masc
Orell	N.Name.Nom.Sg.Masc
&	CONJ.Coord.-
Comp	N.Name.Nom.Sg.Masc
.	SYM.Pun.Sent
,	SYM.Pun.Comma
Zürich	N.Name.Nom.Sg.Neut
,	SYM.Pun.Comma
1760	CARD
Exportiert	ADJD.Pos
aus	APPR.Dat
Wikisource	N.Name.Dat.Sg.*
am	APPRART.Dat.Sg.Masc
16	CARD
.	SYM.Pun.Sent
Juni	N.Reg.Nom.Sg.Masc
2023	CARD
[	SYM.Paren.Left
1	CARD
]	SYM.Paren.Right
Polytimet	VPP.Full.Psp
.	SYM.Pun.Sent
Ein	ART.Indef.Nom.Sg.Neut
Trauerspiel	N.Reg.Nom.Sg.Neut
.	SYM.Pun.Sent
[	SYM.Paren.Left
2	CARD
]	SYM.Paren.Right
Personen	N.Reg.Acc.Pl.Fem
.	SYM.Pun.Sent
Polemon	N.Name.Nom.Sg.Masc
,	SYM.Pun.Comma
König	N.Name.Nom.Sg.Masc
.	SYM.Pun.Sent
Aristodemus	N.Name.Nom.Sg.Masc
,	SYM.Pun.Comma
sein	PRO.Poss.Attr.-.Nom.Sg.Masc
Feldherr	N.Reg.Nom.Sg.Masc
.	SYM.Pun.Sent
Polytimet	VIMP.Full.2.Pl
,	SYM.Pun.Comma
des	ART.Def.Gen.Sg.Masc
Aridäus	N.Reg.Gen.Sg.Masc
Sohn	N.Reg.Nom.Sg.Masc
,	SYM.Pun.Comma
gefangen	VPP.Full.Psp
.	SYM.Pun.Sent
Strato	N.Name.Nom.Sg.Masc
,	SYM.Pun.Comma
des	ART.Def.Gen.Sg.Masc
Aridäus	N.Reg.Gen.Sg.Masc
Feldherr	N.Reg.Nom.Sg.Masc
.	SYM.Pun.Sent
Parmenio	N.Reg.Nom.Sg.Neut
,	SYM.Pun.Comma
Soldat	N.Reg.Nom.Sg.Masc
.	SYM.Pun.Sent
Heerold	N.Reg.Nom.Sg.Neut
des	ART.Def.Gen.Sg.Masc
Aridäus	N.Reg.Gen.Sg.Masc
.	SYM.Pun.Sent
Die	ART.Def.Nom.Sg.Fem
Scene	N.Reg.Nom.Sg.Fem
,	SYM.Pun.Comma
ein	ART.Indef.Acc.Sg.Neut
Gezelt	N.Reg.Acc.Sg.Neut
in	APPR.In
dem	ART.Def.Dat.Sg.Neut
Lager	N.Reg.Dat.Sg.Neut
des	ART.Def.Gen.Sg.Neut
Polemons	N.Reg.Gen.Sg.Neut
.	SYM.Pun.Sent
[	SYM.Paren.Left
3	CARD
]	SYM.Paren.Right
Erster	ADJA.Pos.Nom.Sg.Masc
Auftritt	N.Reg.Nom.Sg.Masc
.	SYM.Pun.Sent
Polytimet	VIMP.Full.2.Pl
.	SYM.Pun.Sent
Was	PRO.Inter.Subst.-.Nom.Sg.Neut
ist	VFIN.Sein.3.Sg.Pres.Ind
es	PRO.Pers.Subst.3.Nom.Sg.Neut
denn	ADV
für	APPR.Acc
ein	ART.Indef.Acc.Sg.Neut
grosses	ADJA.Pos.Acc.Sg.Neut
Uebel	N.Reg.Acc.Sg.Neut
,	SYM.Pun.Comma
daß	CONJ.SubFin.-
ich	PRO.Pers.Subst.1.Nom.Sg.*
ein	ART.Indef.Nom.Sg.Masc
Gefangener	N.Reg.Nom.Sg.Masc
bin	VFIN.Sein.1.Sg.Pres.Ind
?	SYM.Pun.Sent
Ist	VFIN.Sein.3.Sg.Pres.Ind
es	PRO.Pers.Subst.3.Nom.Sg.Neut
mehr	PRO.Indef.Subst.-.*.*.*
,	SYM.Pun.Comma
als	CONJ.Comp.-
daß	CONJ.SubFin.-
eine	ART.Indef.Nom.Sg.Fem
Waagschale	N.Reg.Nom.Sg.Fem
sinkt	VFIN.Full.3.Sg.Pres.Ind
,	SYM.Pun.Comma
wenn	CONJ.SubFin.-
mehr	PRO.Indef.Attr.-.*.*.*
Gewicht	N.Reg.Acc.Sg.Neut
in	APPR.In
die	ART.Def.Acc.Pl.*
andere	PRO.Indef.Subst.-.Acc.Pl.*
geleget	VPP.Full.Psp
wird	VFIN.Aux.3.Sg.Pres.Ind
?	SYM.Pun.Sent
Oder	CONJ.Coord.-
daß	CONJ.SubFin.-
der	ART.Def.Nom.Sg.Masc
geworfene	ADJA.Pos.Nom.Sg.Masc
Stein	N.Reg.Nom.Sg.Masc
nicht	PART.Neg
in	APPR.In
der	ART.Def.Dat.Sg.Fem
Luft	N.Reg.Dat.Sg.Fem
hangen	VINF.Full.-
bleibt	VFIN.Full.3.Sg.Pres.Ind
?	SYM.Pun.Sent
Ich	PRO.Pers.Subst.1.Nom.Sg.*
bin	VFIN.Sein.1.Sg.Pres.Ind
mit	APPR.Dat
einem	ART.Indef.Dat.Sg.Masc
verlezlichen	ADJA.Pos.Dat.Sg.Masc
Cörper	N.Reg.Dat.Sg.Masc
gebohren	VPP.Full.Psp
;	SYM.Pun.Sent
welch	PRO.Inter.Attr.-.*.*.*
Wunder	N.Reg.Nom.Sg.Neut
,	SYM.Pun.Comma
daß	CONJ.SubFin.-
er	PRO.Pers.Subst.3.Nom.Sg.Masc
Wunden	N.Reg.Acc.Pl.Fem
empfangen	VPP.Full.Psp
,	SYM.Pun.Comma
und	CONJ.Coord.-
daß	CONJ.SubFin.-
man	PRO.Indef.Subst.-.Nom.Sg.*
mich	PRO.Pers.Subst.1.Acc.Sg.*
,	SYM.Pun.Comma
als	CONJ.SubFin.-
ich	PRO.Pers.Subst.1.Nom.Sg.*
gefallen	ADJD.Pos
war	VFIN.Sein.1.Sg.Past.Ind
,	SYM.Pun.Comma
davon	PROADV.Dem
geschleppt	VPP.Full.Psp
hat	VFIN.Haben.3.Sg.Pres.Ind
?	SYM.Pun.Sent
Ich	PRO.Pers.Subst.1.Nom.Sg.*
habe	VFIN.Haben.1.Sg.Pres.Ind
mir	PRO.Pers.Subst.1.Dat.Sg.*
doch	ADV
keine	PRO.Indef.Attr.-.Acc.Sg.Fem
dumme	ADJA.Pos.Acc.Sg.Fem
Kühnheit	N.Reg.Acc.Sg.Fem
,	SYM.Pun.Comma
keine	PRO.Indef.Attr.-.Acc.Pl.Masc
unbesonnene	ADJA.Pos.Acc.Pl.Masc
Hize	N.Reg.Acc.Pl.Masc
[	SYM.Paren.Left
4	CARD
]	SYM.Paren.Right
vorzuwerfen	VINF.Full.zu
;	SYM.Pun.Sent
was	PRO.Rel.Subst.-.Nom.Sg.Neut
Vorsicht	N.Reg.Acc.Sg.Fem
mit	APPR.Dat
Muth	N.Name.Dat.Sg.*
vereinigen	VINF.Full.-
kann	VFIN.Mod.3.Sg.Pres.Ind
,	SYM.Pun.Comma
das	PRO.Dem.Subst.-.Acc.Sg.Neut
habe	VFIN.Haben.1.Sg.Pres.Ind
ich	PRO.Pers.Subst.1.Nom.Sg.*
gethan	VPP.Full.Psp
.	SYM.Pun.Sent
Kühnheit	N.Reg.Nom.Sg.Fem
ohne	APPR.Acc
Verstand	N.Reg.Acc.Sg.Masc
,	SYM.Pun.Comma
und	CONJ.Coord.-
Verstand	N.Reg.Nom.Sg.Masc
ohne	APPR.Acc
Kühnheit	N.Reg.Acc.Sg.Fem
taugen	VFIN.Full.3.Pl.Pres.Ind
