"","token","tag","pos","category","funct","case","pers","num","gender","tense","mode"
"3567","vorgeschlagen","VPP.Full.Psp","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"3568","hast","VFIN.Haben.2.Sg.Pres.Ind","VFIN",NA,NA,NA,"2","Sg",NA,"Pres","Ind"
"3569",";","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"3570","durch","APPR.Acc","APPR",NA,NA,"Acc",NA,NA,NA,NA,NA
"3571","[","SYM.Paren.Left","SYM","Paren","Left",NA,NA,NA,NA,NA,NA
"3572","43","CARD","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"3573","]","SYM.Paren.Right","SYM","Paren","Right",NA,NA,NA,NA,NA,NA
"3574","einen","ART.Indef.Acc.Sg.Masc","ART","Indef",NA,"Acc",NA,"Sg","Masc",NA,NA
"3575","blutigen","ADJA.Pos.Acc.Sg.Masc","ADJA","Pos",NA,"Acc",NA,"Sg","Masc",NA,NA
"3576","Sieg","N.Reg.Acc.Sg.Masc","N","Reg",NA,"Acc",NA,"Sg","Masc",NA,NA
"3577",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"3578","der","PRO.Rel.Subst.-.Nom.Sg.Masc","PRO","Rel","Subst","Nom",NA,"Sg","Masc",NA,NA
"3579","dir","PRO.Pers.Subst.2.Dat.Sg.*","PRO","Pers","Subst","Dat","2","Sg",NA,NA,NA
"3580","Wehmuth","ADJD.Pos","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"3581","kosten","VINF.Full.-","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"3582","wird","VFIN.Aux.3.Sg.Pres.Ind","VFIN","Aux",NA,NA,"3","Sg",NA,"Pres","Ind"
"3583",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"3584","Polemon","N.Name.Nom.Sg.*","N","Name",NA,"Nom",NA,"Sg",NA,NA,NA
"3585",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"3586","O","N.Name.Nom.Sg.*","N","Name",NA,"Nom",NA,"Sg",NA,NA,NA
"3587","ihr","PRO.Poss.Attr.-.*.*.*","PRO","Poss","Attr",NA,NA,NA,NA,NA,NA
"3588","Götter","N.Reg.Acc.Pl.Masc","N","Reg",NA,"Acc",NA,"Pl","Masc",NA,NA
"3589",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"3590","hat","VFIN.Haben.3.Sg.Pres.Ind","VFIN",NA,NA,NA,"3","Sg",NA,"Pres","Ind"
"3591","Philotas","N.Name.Nom.Sg.*","N","Name",NA,"Nom",NA,"Sg",NA,NA,NA
"3592","gegen","APPR.Acc","APPR",NA,NA,"Acc",NA,NA,NA,NA,NA
"3593","sich","PRO.Refl.Subst.3.Acc.Sg.*","PRO","Refl","Subst","Acc","3","Sg",NA,NA,NA
"3594","selbst","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"3595","gewütet","VPP.Full.Psp","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"3596","?","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"3597","Strato","N.Name.Nom.Sg.Masc","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"3598",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"3599","Mächtiger","ADJA.Pos.Nom.Sg.Masc","ADJA","Pos",NA,"Nom",NA,"Sg","Masc",NA,NA
"3600","König","N.Reg.Nom.Sg.Masc","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"3601","!","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"3602","mein","PRO.Poss.Attr.-.Nom.Sg.Masc","PRO","Poss","Attr","Nom",NA,"Sg","Masc",NA,NA
"3603","Herr","N.Reg.Nom.Sg.Masc","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"3604",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"3605","der","ART.Def.Nom.Sg.Masc","ART","Def",NA,"Nom",NA,"Sg","Masc",NA,NA
"3606","König","N.Reg.Nom.Sg.Masc","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"3607","Aridäus","N.Name.Nom.Sg.Masc","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"3608","stellte","VFIN.Full.3.Sg.Past.Ind","VFIN","Full",NA,NA,"3","Sg",NA,"Past","Ind"
"3609","sich","PRO.Refl.Subst.3.Acc.Sg.*","PRO","Refl","Subst","Acc","3","Sg",NA,NA,NA
"3610","in","APPR.In","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"3611","seinem","PRO.Poss.Attr.-.Dat.Sg.Neut","PRO","Poss","Attr","Dat",NA,"Sg","Neut",NA,NA
"3612","friedfertigen","ADJA.Pos.Dat.Sg.Neut","ADJA","Pos",NA,"Dat",NA,"Sg","Neut",NA,NA
"3613","Gemüthe","N.Reg.Dat.Sg.Neut","N","Reg",NA,"Dat",NA,"Sg","Neut",NA,NA
"3614","vor","PART.Verb","PART","Verb",NA,NA,NA,NA,NA,NA,NA
"3615",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"3616","euere","PRO.Poss.Attr.-.Nom.Pl.*","PRO","Poss","Attr","Nom",NA,"Pl",NA,NA,NA
"3617","beyden","ADJA.Pos.Nom.Pl.*","ADJA","Pos",NA,"Nom",NA,"Pl",NA,NA,NA
