Philotas	N.Name.Nom.Sg.*

Johann	N.Name.Nom.Sg.Masc
Wilhelm	N.Name.Nom.Sg.Masc
Ludwig	N.Name.Nom.Sg.Masc
Gleim	N.Name.Nom.Sg.*
Amsterdam	N.Name.Nom.Sg.Neut
,	SYM.Pun.Comma
1767	CARD
(	SYM.Paren.Left
Erstdruck	N.Reg.Nom.Sg.Masc
1760	CARD
)	SYM.Paren.Right
Exportiert	VFIN.Full.3.Sg.Pres.Ind
aus	APPR.Dat
Wikisource	N.Name.Dat.Sg.*
am	APPRART.Dat.Sg.Masc
16	CARD
.	SYM.Pun.Sent
Juni	N.Reg.Nom.Sg.Masc
2023	CARD
[	SYM.Paren.Left
103	CARD
]	SYM.Paren.Right
Philotas	N.Name.Gen.Sg.Neut
.	SYM.Pun.Sent
[	SYM.Paren.Left
104	CARD
]	SYM.Paren.Right
Personen	N.Reg.Acc.Pl.Fem
.	SYM.Pun.Sent
Aridäus	N.Name.Nom.Sg.Masc
,	SYM.Pun.Comma
König	N.Name.Nom.Sg.Masc
.	SYM.Pun.Sent
Strato	N.Name.Nom.Sg.Masc
,	SYM.Pun.Comma
Feldherr	N.Reg.Nom.Sg.Masc
des	ART.Def.Gen.Sg.Masc
Aridäus	N.Reg.Gen.Sg.Masc
.	SYM.Pun.Sent
Philotas	N.Name.Nom.Sg.*
,	SYM.Pun.Comma
gefangen	VPP.Full.Psp
.	SYM.Pun.Sent
Parmenio	N.Name.Nom.Sg.Masc
,	SYM.Pun.Comma
Soldat	N.Reg.Nom.Sg.Masc
.	SYM.Pun.Sent
Die	ART.Def.Nom.Sg.Fem
Scene	N.Name.Nom.Sg.Fem
,	SYM.Pun.Comma
ein	ART.Indef.Nom.Sg.Neut
Zelt	N.Reg.Nom.Sg.Neut
im	APPRART.Dat.Sg.Neut
Lager	N.Reg.Dat.Sg.Neut
des	ART.Def.Gen.Sg.Masc
Aridäus	N.Reg.Gen.Sg.Masc
.	SYM.Pun.Sent
[	SYM.Paren.Left
105	CARD
]	SYM.Paren.Right
Philotas	N.Name.Gen.Sg.Neut
.	SYM.Pun.Sent
Erster	ADJA.Pos.Nom.Sg.Masc
Auftritt	N.Reg.Nom.Sg.Masc
.	SYM.Pun.Sent
Philotas	N.Name.Nom.Sg.*
.	SYM.Pun.Sent
Gefangen	VPP.Full.Psp
?	SYM.Pun.Sent
ich	PRO.Pers.Subst.1.Nom.Sg.*
gefangen	ADJD.Pos
?	SYM.Pun.Sent
Götter	N.Reg.Acc.Pl.Masc
!	SYM.Pun.Sent
Ach	ITJ
!	SYM.Pun.Sent
Mein	PRO.Poss.Attr.-.Nom.Sg.Masc
Vater	N.Reg.Nom.Sg.Masc
!	SYM.Pun.Sent
–	ADJA.Pos.Nom.Sg.Masc
–	ADJA.Pos.Nom.Sg.Masc
Fang	N.Reg.Nom.Sg.Masc
ich	PRO.Pers.Subst.1.Nom.Sg.*
so	ADV
zu	PART.Zu
lernen	VINF.Full.-
an	PART.Verb
?	SYM.Pun.Sent
Ein	ART.Indef.Nom.Sg.Neut
Kind	N.Reg.Nom.Sg.Neut
,	SYM.Pun.Comma
träumt	VFIN.Full.3.Sg.Pres.Ind
’	TRUNC.Noun
ich	PRO.Pers.Subst.1.Nom.Sg.*
Feldläger	N.Reg.Acc.Sg.Masc
,	SYM.Pun.Comma
Schlachten	N.Reg.Acc.Pl.Fem
,	SYM.Pun.Comma
Sturm	N.Name.Nom.Sg.*
!	SYM.Pun.Sent
O	N.Name.Nom.Sg.*
träumt	VFIN.Full.3.Sg.Pres.Ind
’	CARD
ich	PRO.Pers.Subst.1.Nom.Sg.*
itzt	ADJD.Pos
,	SYM.Pun.Comma
ein	ART.Indef.Nom.Sg.Masc
Jüngling	N.Reg.Nom.Sg.Masc
,	SYM.Pun.Comma
Wunde	N.Reg.Acc.Sg.Fem
,	SYM.Pun.Comma
Tod	N.Reg.Acc.Sg.Masc
,	SYM.Pun.Comma
Und	CONJ.Coord.-
das	PRO.Dem.Subst.-.Nom.Sg.Neut
viel	ADV
ärgre	VFIN.Full.3.Sg.Pres.Subj
,	SYM.Pun.Comma
